"What are the new options available for buyers when creating a BOQ bid?
","Buyers, when creating a BOQ (Bill of Quantity) bid on Government e-Marketplace (GeM), have several options available. Here are some of the options usually available:

1. Bid type: Buyers can choose between Open, L1, Direct Purchase, and others depending on their need.

2. Bid duration: Depending on the nature of the product or service, the buyer can choose the bid duration that suits best.

3. Bid evaluation: Buyers can opt for methods such as lowest price, quality cum cost based, or negotiation based evaluation.

4. Item specifics: Buyers can define the items, quantity, and specifications they require.

5. Bid visibility: Buyers have an option to keep their bid public or limit the visibility to certain sellers.

6. Multiple Offers: Buyers can allow sellers to offer multiple bids.

7. Consignee locations: Buyers can add multiple delivery locations.

Please note that options may vary according to the type of purchase, procurement method and nature of goods/service. The latest updates or added features can be checked on the official GeM portal."
"What is item-wise evaluation and group-wise evaluation in BOQ bids?
","In the context of GeM (Government e-Marketplace), Bid evaluation methods are used to assess the bids submitted by sellers and to determine the most cost-effective options. The two bid evaluation methods used on GeM are Item-wise Evaluation and Group-wise Evaluation:

1. **Item-wise Evaluation**: In this method, each line item in the Bid of Quantities (BOQ) is evaluated separately. Therefore, a buyer may end up procuring different line items from different sellers. This method offers flexibility to the buyer in selecting the most advantageous bid for each item.

2. **Group-wise Evaluation**: This method involves evaluating the total cost of all line items in the BOQ bid. With this method, the buyer procures all items from a single supplier, who is deemed to offer the best value for the entire package of goods or services. 

Note: The choice between these methods is generally contained in the bid documents and depends upon the procurement needs and discretion of the buyer."
"What is the minimum value for creating a BOQ bid?
","The minimum value for creating a Bid/Offer or BOQ (Bill of Quantity) bid on the Government e-Marketplace (GeM) is Rs. 25,000. Please ensure to follow all guidelines provided for creating a BOQ bid."
"For item-wise evaluation, what does the buyer need to specify?
","For item-wise evaluation on GeM, the buyer needs to specify:

1. The criteria of evaluation: These can include factors like quality, cost, delivery time, past performance of sellers, etc.
2. The weightage assigned to each criteria: Criteria that are more important to the buyer should be assigned a greater weightage.
3. The scoring model: This will define how each vendor's offer is scored against the evaluation criteria.
4. Relative importance of price and non-price factors: In some cases, non-price factors such as quality and delivery time may be more important than price. The buyer needs to indicate this clearly.
 
Remember that the evaluation criteria should be related to the item being purchased and must comply with the rules and regulations of the GeM."
"For group-wise evaluation, what does the buyer need to specify?
","For group-wise evaluation on GeM, the buyer needs to specify items/products in groups. They should clarify that the evaluation will be performed on a group of items rather than individually. Features such as grouping similar items together, marking primary and optional items, and setting a maximum and minimum quantity, among other things, will have to be specified. It's also important that the buyer details the evaluation formula he intends to utilize."
"Can a buyer give a title to a BOQ bid? If yes, why is this useful?
","Yes, a buyer can provide a title to a BOQ (Bill Of Quantities) bid while creating a bid in the GeM platform. Providing a relevant and descriptive title to a BOQ bid is beneficial because it allows the seller to easily understand the specific requirements and the nature of products or services that are needed. This ultimately results in better response from sellers who satisfy those particular specifications, leading to a more efficient and successful bidding process."
"What can a buyer choose to do after technical evaluation of bids?
","After the technical evaluation of bids, the buyer has several options. They can:

1. Choose to accept the most appropriate bid based on the evaluation.
2. Open the price bids of the technically qualified sellers for financial evaluation.
3. Cancel the bid if it does not meet all the requirements.
4. If needed, the buyer has a right to negotiate with the bidder for better terms such as quality, price, delivery, servicing etc.
5. In the case of a tie in terms of price amongst technically qualified bids, the buyer may ask the tied bidders to submit revised commercial bids for deciding the successful bidder. 

It's important to note that the final decision is made taking into account both technical and financial suitability."
"How can a seller search and select a BOQ bid to participate in on GeM?
","To search and select a BOQ (Bill of Quantities) bid to participate in on GeM, follow the steps below:

1. Log in to your seller account on the GeM portal.

2. On the dashboard, go to 'Bids/RAs' and from the dropdown, select 'BOQ Bids'.

3. Click on 'View All Bids' or use the search bar to find a specific bid. You can also apply filters such as 'Bid Type', 'Bid Submission Date', 'Buyer Type', 'Categories', etc. to narrow down the search.

4. Once you find a suitable bid, click on it to view the details.

5. If the bid matches your product/service, you can click on 'Bid Now'.

Please note that each bid will have its specific terms and conditions which sellers must check and comply with before they decide to select and participate in the bid."
"What steps does a seller need to follow to participate in a BOQ bid on GeM?
","To participate in a BOQ (Bill of Quantity) bid on GeM as a seller, follow these steps:

1. Registration: Register on the GeM Portal as a seller. You will need to provide all the necessary business details, including PAN, Aadhar, and bank account details.

2. Profile Completion: Complete your seller profile after registration. This will include your organization details, services, contact info, bank details, etc.

3. Select the Product/Services: Select the product or services you wish to bid on. Ensure you meet the criteria and have the necessary certifications if required.

4. Accept Terms and Conditions: Read and accept the Terms & Conditions for participating in the bid.

5. Submit the Bid: In this step, you provide your pricing and other details. Be careful while bidding, as you cannot edit your bid once submitted. Submit your bid after you have reviewed everything.

6. Follow the Rules: Abide by the rules and regulations set by the GeM for the sellers to participate in the bid. Ensure you do not involve in any malpractices.

7. Wait for Results: Once the bid is closed, the buyer will evaluate all the bids received and will declare the L1 (lowest bidder). If your bid is the lowest and meets all the tender criteria, you will be awarded the contract.

8. Fulfill the Order: Fulfil the order as per the terms and conditions of the contract if you are awarded the bid.

Remember, compliance with all these steps does not guarantee winning the bid; it merely ensures eligibility for consideration. Winning the bid depends on factors such as product quality, delivery timelines, price, etc. as per buyer's requirement."
"What documents does a seller need to upload when participating in a BOQ bid?
","To participate in a Bid/RA on Government e-Marketplace (GeM) as a Seller, you will need to provide the following documents:

1. Digital Signature Certification (DSC) - This is mandatory for participating in a BOQ bid. Make sure it is class II or III.
  
2. Business PAN - The PAN card of the business for which you are bidding.

3. GSTIN Details - GST details for your invoicing.

4. Bank Account Details - For account verification and transaction purposes.

5. Aadhar Card Number of the Bid Signer - The Aadhar number of the person who is authorized to sign the bids on behalf of the seller. 

6. Certificate of Incorporation/Registration - Necessary identification and verification document, especially if you own a company, society, trust, etc.

7. MSME/Startup Certificate - If you own a small, medium business or startup, you must upload the associated certificates.

8. Annual Report / Audited Balance Sheet / CA Certificate – Your financial documents.

9. ITR (Income Tax Return) – Your income tax return documents for the last 3 years.

All these documents need to be valid and relevant to avoid any issues during the process."
