"What is the Catalog Management System on GeM used for?
","The Catalog Management System (CMS) on GeM is an online platform that enables sellers to upload their product catalogs and manage their product listings. It provides a centralized repository for all products available on GeM, making it easier for buyers to search and compare products from different sellers.

**Benefits of using the CMS:**

* **Simplified product listing:** Sellers can easily upload their product catalogs in bulk, reducing the time and effort required to create individual product listings.
* **Centralized product repository:** All products available on GeM are stored in a single, searchable repository, making it easier for buyers to find the products they need.
* **Real-time product updates:** Sellers can update their product listings in real-time, ensuring that buyers have accurate and up-to-date information about the products they are interested in.
* **Improved buyer experience:** By providing a centralized platform for product listing and management, the CMS helps to improve the buyer experience by making it easier to find and compare products from different sellers."
"What do I need to do to add a new service offering on GeM?
","To add a new service offering on GeM, you need to follow these steps:

1. Register as a Seller:

Visit the GeM portal (https://gem.gov.in/) and click on ""Register as a Seller"".
Select the type of seller (Individual, Company, or Government Organization) and click ""Continue"".
Fill in the required details and submit your application.
Once your registration is complete, you will receive a confirmation email.

2. Activate Your Account:

After registration, you need to activate your account. Click on the activation link provided in the confirmation email.
Log in to your GeM account and complete the KYC verification process.
This involves providing documents such as PAN Card, Aadhaar Card, and GST Certificate (if applicable).

3. Create a Vendor Code:

Once your account is activated, you need to generate a Vendor Code.
Click on ""Seller Profile"" and select ""Vendor Code Generation"".
Enter the required details and submit the form.
Your Vendor Code will be generated and displayed on your Seller Profile.

4. Add a New Service Offering:

Go to the ""My Products and Services"" section on your Seller Profile.
Click on ""Add New Product/Service"".
Select the category and sub-category that best represents your service offering.
Enter the product/service details, such as name, description, technical specifications, terms and conditions, etc.
Upload relevant documents and images to support your service offering.
Click on ""Save"" to add the new service offering.

5. Submit Your Bid:

Once you have added a new service offering, you can submit your bid for any relevant tender or quotation.
Search for tenders or quotations related to your service offering.
Read the tender or quotation document carefully and ensure that you meet all the requirements.
Prepare your bid proposal according to the instructions provided in the tender or quotation document.
Submit your bid within the specified deadline.

6. Track Your Bid Status:

After submitting your bid, you can track its status by logging into your GeM account.
Click on ""My Bids"" to view the status of your submitted bids.
You will be notified when your bid is accepted or rejected.

7. Fulfill the Order:

If your bid is accepted, you will receive a purchase order from the buyer.
Pack and ship the products or services as per the terms and conditions of the purchase order.
Update the delivery status in your GeM account.

8. Receive Payment:

Once the buyer receives the products or services, they will release the payment to your bank account.
You can track the payment status in your GeM account.

By following these steps, you can add a new service offering on GeM and start participating in tenders and quotations related to your service."
"How can I view the service categories on GeM?
","To view the service categories on GeM, follow these steps:

1. Visit the GeM website: https://gem.gov.in/.
2. Click on the ""Services"" tab located at the top of the page.
3. On the Services page, you will find a list of service categories displayed under the ""Services Categories"" section.
4. You can click on any service category to view the services offered under that category.
5. Each service category has a unique code associated with it. You can use this code to search for specific services on GeM.

Alternatively, you can also view the service categories by using the GeM Mobile App:

1. Download and install the GeM Mobile App on your smartphone.
2. Open the GeM Mobile App and log in to your account.
3. Tap on the ""Services"" tab located at the bottom of the screen.
4. You will find a list of service categories displayed under the ""Services Categories"" section.
5. Tap on any service category to view the services offered under that category."
"How can I see the services I already offer on GeM?
","To see the services you already offer on GeM, follow these steps:

1. Log in to your GeM account.
2. Click on the ""My Services"" tab.
3. Here, you will find a list of all the services that you have registered with GeM.
4. You can also view the status of each service, such as whether it is active or inactive.
5. To edit or update your service information, click on the ""Edit"" button next to the service you want to change.
6. Once you have made your changes, click on the ""Update"" button to save them.

Please note that only registered sellers can offer services on GeM. If you are not a registered seller, you will need to register before you can offer any services."
"How do I select a service category to add a new offering?
","To select a service category to add a new offering on GeM, follow these steps:

1. Log into the GeM portal using your registered email address and password.


2. Click on the ""Become a Seller"" option from the homepage.


3. Enter your basic information and GST Number, and click on the ""Proceed"" button.


4. Select the appropriate Business type and click on the ""Proceed"" button.


5. Choose the relevant Service Category and Sub-Category from the available options.


6. Click on the ""Proceed"" button to complete the registration process.


7. Once your registration is verified, you will receive an email with your login credentials.


8. Log in to the GeM portal using the provided credentials.


9. Click on the ""My Products & Services"" tab from the dashboard.


10. Select the ""Add New Service"" option.


11. Enter the specific details of the service you want to offer, such as name, description, specifications, pricing, and images.


12. Select the appropriate HSN/SAC code for your service.


13. Upload the necessary documents and certifications.


14. Review the details and click on the ""Submit"" button to add your new service offering.


15. Your service offering will undergo a review process by GeM's quality assurance team.


16. Once approved, your service will be available for procurement by government buyers on the GeM portal."
"What are the steps to upload a new service under a category?
","To upload a new service under a category on GeM, follow these steps:

1. Log in to the GeM portal using your registered credentials.

2. Click on the ""Services"" tab on the homepage.

3. Select the category under which you want to upload the new service.

4. Click on the ""Add New Service"" button.

5. Enter the following details in the service creation form:

    * Service Name
    * Service Description
    * Service Category
    * Service Subcategory
    * GSTIN
    * PAN
    * Bank Account Details
    * Contact Person Details
    * Address
    * Pincode
    * State
    * District
    * City
    * Email ID
    * Mobile Number

6. Upload the following documents:

    * GST Certificate
    * PAN Card
    * Cancelled Cheque
    * Address Proof
    * Bank Account Statement

7. Click on the ""Submit"" button.

8. Your service will be reviewed by the GeM team and if approved, it will be published on the portal."
"How can I view the subcategories for a service on GeM?
","To view the subcategories for a service on GeM, follow these steps:

1. Open the GeM portal and log in to your account.
2. Click on the ""Services"" tab on the homepage.
3. Select the service category you are interested in.
4. On the service category page, click on the ""Subcategories"" tab.
5. You will now see a list of all the subcategories for the selected service category.
6. Click on the subcategory you are interested in to view more details."
"Where do I enter the service description on GeM?
","To enter the service description on GeM, follow these steps:

1. Log in to the GeM portal using your credentials.
2. Click on the ""Services"" tab from the top menu bar.
3. Select ""Create Service"" from the drop-down menu.
4. Fill in the basic details such as the service name, category, sub-category, and location.
5. Click on the ""Additional Details"" tab to enter the service description.
6. In the ""Service Description"" field, provide a detailed description of the service that you are offering. Include information about the scope of work, deliverables, timelines, and any other relevant details.
7. You can also upload supporting documents such as brochures, technical specifications, or certification documents by clicking on the ""Upload Documents"" button.
8. Once you are satisfied with the service description, click on the ""Save and Continue"" button.
9. Review the details that you have entered and click on the ""Submit"" button.

Your service description will be submitted for review and approval by the GeM team. Once approved, your service will be listed on the GeM portal and will be visible to potential buyers."
"Where can I find the service level agreement for a service on GeM?
","To find the service level agreement (SLA) for a service on GeM, follow these steps:

1. Go to the GeM portal: https://gem.gov.in
2. Log in to your account using your credentials.
3. Click on the ""Services"" tab.
4. Select the service you are interested in from the list of services.
5. Click on the ""View Details"" button.
6. Scroll down to the ""Service Level Agreement"" section.
7. Click on the ""Download SLA"" button to download the SLA document.

The SLA document will contain information about the service, the performance targets, the remedies for breach of SLA, and other relevant terms and conditions."
"Where do I provide my relevant government project experience on GeM?
","To provide your relevant government project experience on GeM, follow these steps:

1. Log in to the GeM portal using your credentials.
2. Click on the ""My Profile"" tab located at the top right corner of the homepage.
3. Select the ""Organization Profile"" option from the drop-down menu.
4. Click on the ""Edit"" button next to the ""Government Project Experience"" section.
5. In the ""Government Project Experience"" section, provide the following information:

   - Project Name
   - Project Description
   - Project Start Date
   - Project End Date
   - Project Value
   - Client Name
   - Client Address
   - Client Contact Person
   - Client Contact Number
   - Client Email Address

6. Click on the ""Save"" button to save your government project experience.

Your government project experience will now be visible to potential buyers on GeM, and they may consider it when awarding contracts."
