"What is GeM and how does it work?
","**What is GeM?**

Government e-Marketplace (GeM) is a one-stop portal to facilitate online procurement of common use goods and services required by various government departments, organizations, and public sector undertakings. GeM is a transparent, efficient, and user-friendly platform that aims to transform the way government entities procure goods and services.

**How does GeM work?**

GeM works on a simple and user-friendly interface that allows buyers and sellers to connect and transact seamlessly. Here's a step-by-step guide on how GeM works:

1. **Registration:**
   - Buyers (government departments, organizations, PSUs) and sellers (suppliers, service providers) need to register on the GeM portal.
   - Buyers must provide their organization details, GSTIN, bank account information, and authorized signatories.
   - Sellers must provide their business details, GSTIN, PAN, bank account information, and product/service catalog.

2. **Product/Service Listing:**
   - Sellers can list their products or services on the GeM portal along with their specifications, pricing, and delivery terms.
   - Buyers can browse through the listed products and services and select the ones that meet their requirements.

3. **Bid Submission:**
   - Buyers can create bid invitations for their procurement needs and specify the bid submission deadline.
   - Sellers can submit their bids as per the buyer's requirements and specifications.

4. **Bid Evaluation:**
   - Buyers evaluate the bids based on pre-defined criteria such as price, quality, technical specifications, and delivery terms.
   - Buyers may also conduct reverse auctions to get the best possible price for their procurement.

5. **Order Placement:**
   - Once the bid evaluation is complete, the buyer selects the winning seller and places an order.
   - The seller acknowledges the order and confirms the delivery timeline.

6. **Payment and Delivery:**
   - Buyers make the payment to the seller through the GeM portal using various payment options such as net banking, UPI, or credit/debit cards.
   - Sellers ship the ordered products or provide the services as per the agreed-upon delivery timeline.

7. **Invoice Submission:**
   - After the delivery of products or services, sellers submit invoices to the buyers through the GeM portal.
   - Buyers verify the invoices and release the payment to the sellers.

8. **Dispute Resolution:**
   - In case of any disputes or issues related to the procurement process, buyers and sellers can raise a dispute on the GeM portal.
   - GeM has a dedicated dispute resolution mechanism to address and resolve disputes between buyers and sellers.

By leveraging GeM, government entities can streamline their procurement processes, ensure transparency, and achieve cost savings. Additionally, sellers can gain access to a wider market and increase their sales opportunities."
"How do I register as a seller on GeM? What details or documents do I need?
","To register as a seller on GeM, you will need to provide the following details and documents:

1. PAN Card
2. GST Certificate
3. MSME Certificate (if applicable)
4. Bank Account Details
5. Company Registration Certificate (for companies)
6. Partnership Deed (for partnerships)
7. Individual Affidavit (for individuals)
8. Address Proof
9. Digital Signature Certificate (DSC)
10. Shop & Establishment Certificate

The process to register as a seller on GeM is as follows:

1. Visit the GeM portal and click on the ""Seller Registration"" link.
2. Select the type of seller you are (Individual, Company, Partnership, etc.) and click on ""Proceed"".
3. Enter your PAN Card number and click on ""Search"".
4. Verify your details and click on ""Proceed"".
5. Enter the OTP sent to your registered mobile number and click on ""Verify"".
6. Fill in the required details and upload the necessary documents.
7. Review your details and click on ""Submit"".

Once your registration is complete, you will receive a confirmation email from GeM. You can then log in to the portal and start selling your products.

Please note that the registration process may take some time. Therefore, it is advisable to start the process well in advance."
"What is the process to add a secondary user to my GeM seller account?
","To add a secondary user to your GeM seller account, you can follow these steps:

1. Log in to the GeM portal using your registered username and password.

2. On the homepage, click on the ""My Account"" drop-down menu located in the top-right corner.

3. Select ""Manage Users"" from the drop-down menu.

4. Click on the ""Add Secondary User"" button.

5. Enter the email address of the person you want to add as a secondary user.

6. Select the appropriate role for the secondary user from the drop-down menu. The available roles are:
    * Administrator
    * Approver
    * Buyer
    * Seller
7. Click on the ""Send Invitation"" button.

8. The secondary user will receive an email containing a link to create their GeM account.

9. Once the secondary user has created their account, they will be able to log in to the GeM portal and access the functionalities based on the role assigned to them."
"What roles and permissions can I assign to a secondary user?
","As a GeM customer service representative, I can provide you with information on the roles and permissions you can assign to a secondary user on the GeM portal:

**Roles and Permissions:**

**1. Buyer:**
   - Create and manage bid/RA/RFQ documents
   - Approve/Reject Supplier Registration
   - View/Download Invoices
   - Manage Contracts
   - Generate Reports
   - View/Approve/Reject Orders
   - View Bid Evaluation Reports

**2. Consignee:**
   - Accept/Reject Orders
   - Manage Receipts
   - Manage Returns
   - View Invoices

**3. Approving Authority:**
   - Approve/Reject Purchase Orders
   - Approve/Reject Contracts
   - Approve/Reject Bid Evaluation Reports

**4. Finance:**
   - View Invoices
   - Generate Payment Advice
   - Reconcile Payments
   - View/Download Payment Receipts

**5. Stores:**
   - Manage Stock Items
   - Manage Warehouses
   - Manage Inventory
   - Generate Stock Reports

**6. Inspection:**
   - Manage Inspection Plans
   - Conduct Inspections
   - Generate Inspection Reports

**7. Quality Control:**
   - Review Inspection Reports
   - Approve/Reject Inspection Reports
   - Manage Quality Control Documents

**8. Logistics:**
   - Manage Shipping Documents
   - Track Shipments
   - Manage Freight Charges
   - Generate Logistics Reports

**9. Helpdesk:**
   - Manage User Queries
   - Resolve Technical Issues
   - Provide Training and Support

**10. Administrator:**
   - Manage User Accounts
   - Assign Roles and Permissions
   - Manage System Settings
   - Generate System Reports

When assigning roles and permissions to a secondary user, consider the following:

- Assign only the necessary roles and permissions to ensure data security.
- Review and update roles and permissions regularly to reflect changes in the user's responsibilities.
- Provide training and support to the secondary user to ensure they understand their roles and permissions.

Remember, the specific roles and permissions available to assign may vary depending on your organization's setup and requirements. You can find more detailed information and guidance on managing secondary users and assigning roles and permissions in the GeM User Manual or by contacting the GeM helpdesk."
"How does the secondary user activate their account after I send them the activation link?
","1.  **Open the Activation Link**: 
 - The secondary user should click on the activation link sent to their registered email address.
 - Ensure that the link is accessed within 24 hours of receiving it, as it expires after that.


2.  **Create a New Password**: 
 - On clicking the link, the secondary user will be redirected to the GeM portal's ""Reset Password"" page.
 - They should enter a new password in the ""New Password"" field and confirm it by entering it again in the ""Confirm Password"" field.
 - The password created should adhere to the GeM password policy, including minimum length, alphanumeric characters, and special characters.


3.  **Submit and Login**: 
 - After entering the new password, the secondary user should click on the ""Submit"" button.
 - Upon successful password reset, they will be prompted to log in to the GeM portal.


4.  **Login with New Credentials**: 
 - The secondary user can now use their registered email address and the newly created password to log in to the GeM portal.
 - Once logged in, they will have access to the GeM platform and can start using its features and services."
"Why does the secondary user need to register with PAN or Aadhar based on what I registered with?
","There are a few reasons why the secondary user needs to register with PAN or Aadhar based on what you registered with:

1. To ensure compliance with government regulations: The Government of India mandates that all users who transact on the GeM portal must be registered with their PAN or Aadhar. This is to ensure transparency and accountability in public procurement.

2. For secure and efficient processing of payments: By using the same PAN or Aadhar number as the primary user, the secondary user can ensure that payments are processed quickly and securely. This is because the payment gateway is linked to the PAN or Aadhar number, which helps in verifying the user's identity and ensuring that the funds are transferred to the correct account.

3. To facilitate seamless collaboration and communication: By registering with the same PAN or Aadhar number as the primary user, the secondary user can easily collaborate with the primary user and other authorised personnel within the organisation. This is because they will have access to the same information and can communicate with each other through the GeM portal's messaging system.

4. To maintain a single point of contact: By having all users registered with the same PAN or Aadhar number, the GeM portal can maintain a single point of contact for each organisation. This makes it easier for the GeM team to communicate with the organisation and resolve any queries or issues promptly."
"What is the process for the secondary user to register using PAN?
","1. Visit the GeM portal and click on the ""Register"" button.
2. Select ""Secondary User"" from the registration type options.
3. Enter the PAN of the primary user.
4. Enter the name, email address, and mobile number of the secondary user.
5. Create a password for the secondary user.
6. Read and accept the terms and conditions.
7. Click on the ""Register"" button.
8. A verification email will be sent to the secondary user's email address.
9. Click on the link in the verification email to activate the secondary user account.
10. The secondary user can now log in to the GeM portal using their PAN and password."
"What details do they need to provide for OTP based verification?
","For OTP-based verification on GeM, customers need to provide the following details:

1. **Mobile Number**: Customers must provide the mobile number registered with their GeM account.
2. **Email Address**: Customers must provide the email address registered with their GeM account.
3. **PAN Number**: Customers must provide their Permanent Account Number (PAN) for GST verification.
4. **GST Number**: Customers must provide their GST Number for GST verification.
5. **Aadhaar Number**: Customers must provide their Aadhaar Number for Aadhaar-based e-KYC verification.

Please note that customers may be required to provide additional information depending on the specific transaction or service they are trying to access on GeM."
"What is the process for the secondary user to register using Aadhar?
","1. The secondary user must first obtain an Aadhaar card.


2. The secondary user must then visit the GeM portal ([https://gem.gov.in](https://gem.gov.in)) and click on the ""Register"" button.


3. On the registration page, the secondary user must select the ""Secondary User"" option and enter their Aadhaar number.


4. The secondary user will then receive an OTP (One Time Password) on their registered mobile number.


5. The secondary user must enter the OTP in the OTP field and click on the ""Submit"" button.


6. The secondary user will then be asked to create a username and password.


7. Once the username and password have been created, the secondary user will be able to log in to the GeM portal and start using the platform."
"After registration, how can the secondary user update their profile details like password, email, and mobile number?
","To update your profile details after registration as a secondary user on the GeM portal:

1. Log in to the GeM portal using your registered email address and password.
2. Click on the ""My Profile"" tab located at the top right corner of the homepage.
3. On the ""My Profile"" page, click on the ""Edit Profile"" button.
4. You will be directed to the ""Edit Profile"" page, where you can update the following details:
    * Password
    * Email
    * Mobile Number
    * Address
    * Bank Details
5. Make the necessary changes to your profile details.
6. Click on the ""Save"" button to update your profile.

Please note that you will need to re-verify your email address and mobile number if you change them. You will receive a verification email and OTP (One Time Password) on your registered email address and mobile number, respectively. You need to enter the OTPs to complete the verification process.

Once you have updated your profile details, they will be reflected in your GeM account. You can use the updated details to log in to the portal and access various services."
