"How do I login to GeM?
","To login to GeM:

1. Visit the Government e-Marketplace (GeM) official website: www.gem.gov.in

2. On the homepage, click on the ""Login"" or ""Sign In"" button.

3. You'll be redirected to the login page where you need to enter your registered email ID and password.

4. After entering the credentials, you need to pass the captcha verification.

5. Click on the ""Sign In"" button. 

If you are unable to login or forgot your password, click on 'Forgot Password' and follow the instructions to reset it. If you are a new user, you would need to sign up first before you can log in. Simply click on the 'sign up' option and follow the instructions."
"Where do I go to upload a new product on GeM?
","Adding a new product to GeM involves the following steps:

1. You need to go to GeM's official website.
2. Log in to your registered seller account.
3. On your dashboard, click on 'My Selling' and then select the option 'Offerings'.
4. Under 'Offerings', there are several options. You need to select 'Catalogue Management'.
5. Under the 'Catalogue Management' option, you will now choose 'Add new product/service'.
6. Now, you can start uploading your new product's information such as the name, category, brand, price, and other required specifications.
7. Make sure to accurately fill out all the details about your product.
8. Once you have completed all the required fields and uploaded any necessary images or specifications, click on 'Submit for review'.

Once you've done this, your product will be reviewed by the GeM team before being listed on the marketplace. This may take a couple of days, so be patient. Please ensure your product adheres to the GeM marketplace's policies and guidelines."
"What do I do if I don't find the right product category for my product?
","In case you do not find the appropriate product category for your product, you can reach out to the GeM Support Team. Go to the Contact Us page on the GeM portal and write to the GeM Support Team stating your issue. They may guide you with the appropriate category or if necessary, they could create a new product category based on your suggestion. It's crucial to categorize your product correctly as it helps in attracting the right buyers."
"How do I request for a new product category or modification of an existing category?
","To request for a new product category or modification of an existing category on the Government e-Marketplace (GeM), you'll need to follow these steps:

1. Log into your GeM portal using your registered username and password.

2. Go to the 'Product' or 'Service' section, whichever is applicable.

3. Look for the 'Request New Product/Category' or 'Request Modification in Existing Product/Category' option. This usually is under 'Manage Products' or similar section.

4. Fill out the required form, providing all necessary details about your desired new category or modifications you wish to make.

5. Once all the details have been filled accurately, submit your request for approval.

Upon submission, the GeM team will review your request. The timeline for this process can vary. You will be notified once your request has been accepted or if further information is needed. Always make sure to furnish accurate and complete information to facilitate the review process.

Please note, the availability of this feature may vary depending on platform updates or policy changes. If you have trouble finding the option to request a new category, it's best to reach out to GeM's customer support for direct assistance."
"What is the brand approval process on GeM?
","To gain brand approval on Government e-Marketplace (GeM), sellers need to follow the following steps:

1. **Brand Creation**: Seller has to create the brand by providing the brand name on the Seller Brand Approval page.

2. **Brand Approval Request:** After creating the brand, the seller then has to upload the necessary documents for approval and provide justification if needed.

The list of documents that need to be submitted for brand approval includes:

- Trademark certificate issued by the Ministry of Commerce
- Brand ownership documents
- Self-declaration or self-certification
- Any other documents supporting your ownership of the brand

3. **Assign AQMS** (Assess Quality Management Staff): Once the documents are uploaded, the request is sent to an assigned AQMS officer. AQMS officers review the documents submitted by sellers.

4. **Approval/Rejection**: If the AQMS officer is satisfied with the documents and the justification provided, they approve the brand request, if not the request is rejected. Feedback is given by AQMS to the seller, in case of rejection.

Please remember that only the brands owned by the seller, or the brands authorized to sell by the brand owner, are allowed to be sold on GeM. Unauthorized brands are not allowed."
"How do I quickly create a catalog by cloning an existing one?
","In order to create a catalog by cloning an existing one on GeM, follow these steps:

1. Log in to your GeM Seller account.
2. Navigate to the ""Product Management"" tab and click on ""Manage Catalogs"".
3. Find the catalog you wish to clone and click on the ""Clone"" button next to it.
4. The system will create a new catalog with the same information. You can then edit the details of this cloned catalog.
5. After making necessary changes, click on Submit.

Remember, this cloned catalog is a separate listing and changes made will not affect the original catalog. This feature helps save time if you sell similar products with minor variations. 

Please note that all the catalogs are subject to GeM's approval policy before they appear for sale on the platform."
"What is the difference between golden and non-golden parameters?
","Golden parameters in the context of Government e-Marketplace (GeM) refer to some pre-defined conditions or attributes set by the system for a specific product or service. These parameters are fixed and can't be changed by the sellers. They are set to ensure the quality, standards, and other specifications of the products or services being sold on the platform.

Non-Golden parameters, on the other hand, are the parameters that sellers can set according to their products or services. These can include aspects like color, size, model number, etc., depending upon the product category. These parameters can be adjusted by sellers based on their specific offerings."
"What do I do if my product already exists in the marketplace?
","If your product already exists in the marketplace, you can still offer it for sale. You don't need to list the product again. Instead, you can simply offer it. Here are the steps:

1. Sign in to your seller dashboard on GeM.
2. Navigate to the ""Offerings"" section.
3. Click on “Offer your Product/Service”.
4. Select your product category and sub-category.
5. If your product matches with any of the listed products, click on “Offer”.
6. Fill in the required details such as price, quantity, lead time, etc.
7. Click on “Submit” to finish the offering.

Do ensure the quality and specifications of your product match the existing description. It's important to maintain an honest and transparent relationship with buyers."
"As an OEM, what details do I need to provide about FSSAI license number?
","As an Original Equipment Manufacturer (OEM), if you're selling food products or items under the food and catering category, it is mandatory to have the Food Safety and Standards Authority of India (FSSAI) license number. This is for ensuring the safety and standard quality of manufactured food products.

The details required related to FSSAI license number are:

1. FSSAI License Number itself: This is a 14-digit number. The first two digits are for the year when the license was issued. The following two digits indicate the state code where the food business is located. The next two digits give the manufacturer's license number, and the last eight digits are the license number of the establishment.

2. Expiration Date: The license is typically valid for one to five years.

3. Name of the firm/operator: This is the legally registered name of the food business.

4. Kind of business: This pertains to the type of food business activities the operator is involved in.

5. Address of the firm/operator: This should be the address of the location where the food business is carried out.

You have to enter these details when registering the product and these need to be accurate and legitimate. If the details are found to be incorrect, the seller may be removed from GeM."
"As a reseller, what details do I need to provide about FSSAI license number?
","As a reseller, if you want to sell Food Products on GeM, during the creation of products you will be asked to provide information about your FSSAI license number. FSSAI license is crucial for maintaining the safety of food products and is mandatory for all sellers of food products. The details you would require to provide could differ based on your FSSAI license type. Generally, you'll have to provide:

1. FSSAI License Number: This is a 14-digit number.
2. FSSAI License Validity: You need to provide the issue date and the expiration date of your FSSAI License.

Remember, only sellers who have a valid FSSAI license are allowed to sell their food products in the GeM Portal."
