"How do I login to my seller account on GeM?
","To log in to your Seller account on GeM, follow these steps:

1. Visit the GeM website at https://gem.gov.in/.
2. On the top right corner of the homepage, you should see a button labelled 'Sign In'. Click on this.
3. You will be taken to a login page where you can input your user credentials. Enter your registered email ID/username and password.
4. Click on 'Login'.

Should you encounter any difficulties or require further assistance, feel free to ask."
"How do I add a new product or service to my catalog on GeM?
","To add a new product or service to your catalog on Government e-Marketplace (GeM), follow the steps below:

1. Sign into your GeM account.
2. Navigate to the ‘My Selling’ tab.
3. Under the ‘My Selling’ dashboard, click on ‘Product/Services’.
4. Click on 'Add New Product/Services' option.
5. Choose the category of the product or service you wish to add.
6. Provide the necessary details about your product/service like name, description, price, SKU, stock quantity, etc. Depending upon the product category, you may also need to fill in some additional information.
7. Upload clear images of your product. For services, you may need to upload supporting documents.
8. Finally, click on 'Submit for Approval'. Your submitted products/services will be reviewed and approved by the GeM team based on the regulations and guidelines.

Please note that adding a product or service in the system does not guarantee approval. It must meet all GeM requirements and guidelines. Once approved, your products or services will be visible to all buyers on GeM. If there is an issue with your submission, the team will notify you with the correction that needs to be done."
"Where can I see purchase requisitions created by buyers that I can participate in?
","You can view the purchase requisitions or bids created by buyers on the GeM platform under the ""Bids"" option. After you logged into the platform, navigate to ""Bids/RA"" tab on the Homepage menu bar. This will show you all the active purchase requisitions/bids you are eligible for, based on the products you're registered with to sell on GeM. It is important to note that you must be a registered seller on GeM to participate in these bids."
"How do I view and participate in bids on GeM?
","To view and participate in bids on GeM (Government e-Marketplace), follow these steps:

1. `Create an account`: Before you can participate in a bid, you need to register as a seller on GeM. Simply visit the GeM platform and navigate to the registration or sign-up option to create an account.

2. `Seller dashboard`: After logging in, you will land on the seller dashboard. Here, you will see several options related to bidding, delivery, and buyer orders.

3. `View bids`: To view bids, go to ‘Bids/RA’ from the left navigation menu on the dashboard. The subsequent page will display all the active, draft, and completed bids. You can use filters for refining your search.

4. `Participate in bids`: To participate in bids, click on the desired bid. Upon clicking, you will land on the Bid Information Page where you can understand the details about the bid. If you agree with all the terms & conditions, select respond to bid option.

5. `Bid Response`: On the Bid Response page, provide the details such as price and quantity for the bid, upload necessary documents.

6. `Submit the bid`: Once you have filled in the necessary details, click on submit to participate in this Bid/RA. 

Remember, once you make your submission, you will not be able to modify it, so ensure that everything is correct before you proceed. 

Note: You must meet the eligibility criteria of the bid to participate. The criteria could be based on seller rating, past performance, annual turnover, Industry, etc."
"Where can I check the status of my orders on GeM?
","You can check the status of your orders on GeM through the GeM portal. Here are the steps:

1. Log in to your seller account on the GeM portal.
2. Click on the 'Dashboard' option on the top right corner of the homepage.
3. In the Dashboard, select 'Orders' to view the list of your orders.
4. You can see the status of each order in the 'Status' column.

This will help you monitor the progress of your orders. It's recommended to regularly check this to keep up with any updates or requirements from the buyer."
"How can I filter and view orders by product, service, or status?
","To filter and view orders by product, service, or status, follow these steps:

1. Log in to your seller account on the GeM portal.

2. From the dashboard, navigate to the Orders section.

3. In the Orders section, you will find options to filter the list of orders. 

4. You can filter by 'Product' or 'Service' to view orders specific to your products or services. If you select 'Product', you'll need to input the specific type or name of the product. If you select 'Services', you'll need to select the type of service you're looking for.

5. Similarly, you can filter by 'Status' to view orders based on their current status. You can filter to only show active orders, completed orders, cancelled orders, etc.

6. After you have selected your filters, click on the 'Apply' or 'Search' button to view the results. 

Please note that the actual navigation and options may vary slightly depending on the website's updates or changes. Make sure you are familiar with the layout of your seller dashboard to find these options easily."
"Where can I see products and services available on the GeM marketplace?
","You can see the products and services available on the GeM marketplace by visiting the GeM website and browsing through the product categories or using the search bar to find specific products. However, please note that to view detailed information and make transactions, you need to be a registered user on the platform."
"Where can I view my seller dashboard and notifications?
","You can view your seller dashboard and notifications by logging into the GeM (Government e-Marketplace) portal using your registered credentials. Once you log in, your personalized dashboard will appear which contains all the necessary seller information including latest notifications, updates and other important details. Always keep a check on your dashboard to stay up-to-date with the latest information and opportunities."
"What kind of notifications will I receive as a seller?
","As a seller on Government e-Marketplace (GeM), you will receive a variety of notifications to keep you updated about your activities on the platform. These may include:

1. Information about new buyer requirements or product categories relevant to your offerings.
2. Notification about successful listing of your products or services.
3. Updates regarding any changes in terms and conditions, or policies on GeM.
4. Notifications related to any bids you are participating in, like bid acceptance, rejection or completion.
5. Updates about order status, i.e., when an order is placed, dispatched, or delivered.
6. Notifications about payments – when a payment is due, processed or if there are any issues.
7. Alerts about any mandatory actions required from your side, such as document submission or profile updating.
8. Messages about any training or workshops for sellers.

Remember to keep your contact details up to date in your GeM profile to receive notifications effectively."
"What do the MSME and Startup logos on my profile mean?
","The MSME and Startup logos on your GeM profile signify that your business is registered as a Micro, Small & Medium Enterprise (MSME) or as a Startup. This helps represent your enterprise's status accurately on GeM and assures buyers about your enterprise's credibility.

If you have the MSME logo, it indicates your business is registered with the Ministry of Micro, Small & Medium Enterprises. MSMEs enjoy various benefits on the GeM portal like Purchase Preference Policy, relaxation in Turnover and Experience Criteria, and exemption from Bid Security and Earnest Money Deposit (EMD).

If you have the Startup logo, it indicates that you are recognized by the Department for Promotion of Industry and Internal Trade (DPIIT) as a startup. DPIIT recognized startups on GeM enjoy benefits like relief from prior turnover and prior experience requirement, exemption from EMD and relaxed norms for Quality certification.

These logos increase the visibility of your offerings and help buyers to make an informed decision. Remember, to avail these benefits, sellers need to update their appropriate status and upload respective certificates under the 'My Profile' section."
