"What are the new options available for buyers when creating a BOQ bid?
","As a GeM customer service, I am pleased to inform you about the new options available for buyers when creating a BOQ bid on the Government e-Marketplace (GeM) portal:

1. **Multiple Technical Evaluation Criteria**: Buyers can now define multiple technical evaluation criteria for their BOQ bids. This allows for a more comprehensive and detailed evaluation of bidders' technical capabilities.

2. **Bidders' Past Performance**: Buyers can now view the past performance of bidders on previous GeM contracts. This information can be used to assess the reliability and track record of bidders.

3. **Bidders' Financial Standing**: Buyers can now assess the financial standing of bidders through the GeM portal. This includes information on the bidder's turnover, profitability, and debt-to-equity ratio.

4. **Bidders' Experience in Similar Contracts**: Buyers can now evaluate bidders' experience in executing similar contracts. This information can be used to assess the bidder's expertise and capabilities in fulfilling the specific requirements of the BOQ bid.

5. **Bidders' Manufacturing Capabilities**: Buyers can assess the manufacturing capabilities of bidders through the GeM portal. This includes information on the bidder's production capacity, machinery, and quality control processes.

6. **Bidders' Ability to Deliver Goods or Services on Time**: Buyers can evaluate bidders' ability to deliver goods or services on time through the GeM portal. This includes information on the bidder's track record of timely deliveries and their capacity to meet the delivery schedule specified in the BOQ bid.

7. **Bidders' Customer Support**: Buyers can assess the quality of customer support provided by bidders through the GeM portal. This includes information on the bidder's responsiveness to customer inquiries, their ability to resolve customer issues, and the availability of their customer support channels.

8. **Bidders' Compliance with Statutory Regulations**: Buyers can evaluate bidders' compliance with statutory regulations through the GeM portal. This includes information on the bidder's adherence to labor laws, environmental regulations, and other applicable legal requirements.

These new options are designed to provide buyers with more information and insights to make informed decisions when selecting bidders for BOQ bids. By utilizing these features, buyers can enhance the transparency and efficiency of the procurement process on the GeM portal."
"What is item-wise evaluation and group-wise evaluation in BOQ bids?
","**Item-wise Evaluation:**

* In item-wise evaluation, each item in the bill of quantities (BOQ) is evaluated separately based on its individual specifications, quantity, and unit price.
* The lowest bidder for each item is determined, and the total cost of the bid is calculated by summing the costs of all the items won by the bidder.
* This method is used when the items in the BOQ are distinct and can be evaluated independently of each other.

**Group-wise Evaluation:**

* In group-wise evaluation, the items in the BOQ are grouped into logical categories or groups, and each group is evaluated as a whole.
* The lowest bidder for each group is determined, and the total cost of the bid is calculated by summing the costs of all the groups won by the bidder.
* This method is used when the items in the BOQ are related to each other and cannot be evaluated independently.

**Comparison of Item-wise and Group-wise Evaluation:**

|  | Item-wise Evaluation | Group-wise Evaluation |
|---|---|---|
| Method | Each item in the BOQ is evaluated separately. | Items in the BOQ are grouped into logical categories or groups, and each group is evaluated as a whole. |
| Advantages | Ensures that the lowest bidder for each item is selected. | Facilitates the evaluation of complex bids with interrelated items. |
| Disadvantages | Can lead to a fragmented and disjointed bidding process. | May not always result in the selection of the most cost-effective bid. |
| Suitability | Suitable for bids with distinct and independent items. | Suitable for bids with related and interdependent items. |"
"What is the minimum value for creating a BOQ bid?
","The minimum value for creating a BOQ bid on GeM is 50,000 INR (excluding GST)."
"For item-wise evaluation, what does the buyer need to specify?
","For item-wise evaluation, the buyer needs to specify the following:

1. **Evaluation Criteria:** The buyer needs to clearly define the evaluation criteria that will be used to assess each item. This can include factors such as quality, price, technical specifications, delivery time, post-sales service, and any other relevant considerations.

2. **Evaluation Parameters:** For each evaluation criterion, the buyer should define specific parameters or metrics that will be used to measure and compare the items. These parameters should be objective, measurable, and verifiable.

3. **Weightage or Scoring:** The buyer should assign weights or scores to each evaluation criterion, reflecting their relative importance in the overall evaluation process. These weights or scores will be used to calculate the total score for each item.

4. **Evaluation Method:** The buyer should specify the evaluation method that will be used to compare and rank the items. This can include methods such as a weighted average, a point system, or a scoring matrix.

5. **Documentation and Transparency:** The buyer should provide clear and comprehensive documentation of the evaluation criteria, parameters, weightage, and methods used in the item-wise evaluation. This ensures transparency and allows suppliers to understand the basis on which their items will be evaluated."
"For group-wise evaluation, what does the buyer need to specify?
","1. **Group Evaluation Matrix**: The buyer needs to specify the evaluation matrix that will be used to evaluate the bids. This matrix should include the factors that will be considered in the evaluation, such as price, technical specifications, and delivery time.
2. **Evaluation Criteria**: The buyer needs to specify the criteria that will be used to evaluate the bids. These criteria should be based on the factors in the evaluation matrix.
3. **Weighting Factors**: The buyer needs to specify the weighting factors that will be used to assign importance to each of the criteria.
4. **Evaluation Process**: The buyer needs to specify the process that will be used to evaluate the bids. This process should include the steps that will be taken to evaluate the bids and the criteria that will be used to make the final decision."
"Can a buyer give a title to a BOQ bid? If yes, why is this useful?
","Yes, a buyer can give a title to a BOQ bid. This is useful for the following reasons:

1. **Organization**: Giving a title to a BOQ bid helps organize and differentiate it from other bids. This makes it easier for buyers to find and review specific bids, especially when dealing with multiple bids at once.


2. **Clarification**: A title can provide additional information about the purpose or scope of the BOQ bid. This helps suppliers better understand the buyer's requirements and submit more accurate and relevant bids.


3. **Communication**: A descriptive title can facilitate communication between buyers and suppliers by providing a common reference point for discussions and negotiations. This helps ensure that all parties are on the same page and working towards the same goal.


4. **Transparency**: Including a title in a BOQ bid promotes transparency in the procurement process. It allows suppliers to see the titles of other bids, which can help foster fair competition and prevent favoritism or bias.


5. **Documentation**: The title of a BOQ bid serves as a record of the buyer's requirements and the bids received. This documentation can be useful for future reference or for conducting audits or investigations, if necessary."
"What can a buyer choose to do after technical evaluation of bids?
","After the technical evaluation of bids, a buyer on GeM can choose to do the following:

1. **Accept the Bid:** If the buyer is satisfied with the technical capabilities of the bidder and their bid meets all the technical requirements, they can choose to accept the bid. This will result in the award of the contract to the selected bidder.


2. **Reject the Bid:** If the buyer finds that the bidder does not meet the technical requirements or their bid is incomplete or non-responsive, they can choose to reject the bid. The buyer can then proceed to evaluate the bids of other technically qualified bidders or re-tender the bid.


3. **Seek Clarifications:** In case of any ambiguity or doubts related to the technical bid, the buyer can seek clarifications from the bidder. This allows the bidder to provide additional information or explanations to address the buyer's concerns.


4. **Conduct Negotiations:** After the technical evaluation, the buyer may engage in negotiations with the technically qualified bidders to optimize the terms and conditions of the contract, such as price, delivery schedule, or warranty terms. Negotiations are generally conducted through a reverse auction process on the GeM platform.


5. **Request for Additional Information:** If the buyer requires additional information or documentation from the bidder to make an informed decision, they can request for such information. The bidder is expected to provide the requested information within the specified timeframe.


6. **Re-tender the Bid:** In certain cases, if none of the bidders meet the technical requirements or if the buyer is not satisfied with the technical bids received, they may choose to re-tender the bid. This involves publishing a revised bid document with updated specifications or requirements.


7. **Cancel the Bidding Process:** Under exceptional circumstances, the buyer may decide to cancel the entire bidding process. This can occur due to unforeseen events, changes in project requirements, or other factors that make it necessary to terminate the bidding process."
"How can a seller search and select a BOQ bid to participate in on GeM?
","Sure, here are the steps on how a seller can search and select a BOQ bid to participate in on GeM:

1. **Login to the GeM Portal:**
   - Visit the GeM portal (https://gem.gov.in/) and click on the ""Login"" button.
   - Enter your GeM credentials (email address and password) and click on the ""Login"" button.

2. **Go to the Bid Section:**
   - Once you are logged in, click on the ""Bids"" tab located at the top of the page.

3. **Select the ""BOQ Bids"" Option:**
   - On the ""Bids"" page, you will see various bid types. Select the ""BOQ Bids"" option to view all the BOQ bids available on GeM.

4. **Use Filters to Narrow Down the Search:**
   - On the ""BOQ Bids"" page, you can use various filters to narrow down your search and find relevant bids.
     - **Bid Title:** Enter relevant keywords related to the products or services you offer to find specific bids.
     - **Category:** Select the category or sub-category that best matches your products or services.
     - **Bid Submission End Date:** Filter bids based on their submission end dates to find upcoming bids.
     - **Location:** Filter bids based on the location of the buyer organization to find bids relevant to your geographic area.

5. **Review Bid Details:**
   - Once you find a relevant BOQ bid, click on the bid title to view its details.
   - Carefully review the bid document, including the BOQ (Bill of Quantities), technical specifications, terms and conditions, and other relevant information.

6. **Decide on Participation:**
   - After reviewing the bid document, decide whether you want to participate in the bid. Consider factors such as your capability to supply the required products or services, your pricing strategy, and your availability to meet the bid requirements.

7. **Prepare and Submit Your Bid:**
   - If you decide to participate, prepare your bid response according to the instructions provided in the bid document.
   - Ensure that your bid is complete, accurate, and compliant with all the requirements specified in the bid document.
   - Submit your bid before the bid submission deadline.

8. **Monitor Bid Status:**
   - Once you submit your bid, you can monitor its status on the GeM portal.
   - You will receive notifications about the evaluation process and the award of the contract.

By following these steps, sellers can search for BOQ bids, select relevant bids to participate in, and submit their bids through the GeM portal.

**Note:** It's important for sellers to be registered on the GeM portal and have a valid GSTIN (Goods and Services Tax Identification Number) to participate in BOQ bids. Additionally, sellers should carefully read and understand the bid document before submitting their bids to ensure compliance with all the requirements specified by the buyer organization."
"What steps does a seller need to follow to participate in a BOQ bid on GeM?
","Sure, here are the steps a seller needs to follow to participate in a BOQ bid on GeM:

1. **Be a DGSN Certified Bidder**: Ensure that you are a DGSN (Director General of Supplies and Disposals) certified bidder on GeM. This involves registering and meeting the eligibility criteria set by the government.


2. **Obtain Class/Sub Class Authentication**: Get authentication for the class or sub-class of products or services that are being offered in the BOQ bid. This involves submitting relevant documents and meeting the qualification criteria set for the specific category.


3. **Have a Valid Digital Signature Certificate (DSC)**: Possess a valid DSC issued by a Certifying Authority (CA) approved by the Government of India. This is essential for digitally signing and submitting bids online.


4. **Obtain PIN**: If you have not previously obtained a PIN, you will need to acquire one by submitting a request to GeM. The PIN will be sent to your registered email address.


5. **Sign Up/Login to GeM Portal**: Visit the GeM portal and sign up or log in if you are an existing user.


6. **Search for BOQ Bid**: Use the search bar to find the BOQ bid that you wish to participate in. You can search using keywords, bid ID, or other relevant information.


7. **Download BOQ Document**: Download the BOQ document, which contains detailed information about the bid, including specifications, terms, and conditions.


8. **Prepare Bid Response**: Carefully review the BOQ document and prepare your bid response accordingly. Include all required information, such as pricing, technical specifications, delivery terms, and any other relevant details.


9. **Submit Bid Online**: Once you have completed the bid response, digitally sign it using your DSC and submit it online through the GeM portal. Ensure that you submit the bid before the deadline specified in the BOQ document.


10. **Await Bid Evaluation**: After the bid submission deadline, the BOQ bids will be evaluated by the concerned authority based on the criteria mentioned in the BOQ document.


11. **Receive Bid Award**: If your bid is successful, you will receive a bid award notification from GeM. Follow the instructions provided in the notification to complete the order processing procedures.


12. **Delivery and Payment**: Upon receiving the purchase order, deliver the goods or services as per the terms and conditions of the BOQ bid. Payment will be processed according to the payment terms specified in the bid document.

**Additional Information**:

* It is important to carefully review the BOQ document and ensure compliance with all the requirements and specifications mentioned.
* Sellers may be required to provide additional information or documents during the bid evaluation process.
* GeM conducts training and workshops to help sellers understand the BOQ bidding process. Sellers are encouraged to participate in these sessions to enhance their understanding and chances of success.

Please note that these steps may vary depending on the specific BOQ bid and the guidelines set by the concerned authority. It is always advisable to refer to the BOQ document and GeM guidelines for the most up-to-date and accurate information."
"What documents does a seller need to upload when participating in a BOQ bid?
","1. **BOQ Compliance Statement**: Seller must upload a statement declaring compliance with all the requirements and specifications mentioned in the BOQ.

2. **Authorization Certificate**: If the seller is not the manufacturer or producer of the goods, they must submit an authorization certificate from the manufacturer or producer authorizing them to sell and distribute the products on GeM.

3. **Product Brochure/Catalog**: The seller must upload a product brochure or catalog that clearly describes the features, specifications, and technical details of the products being offered.

4. **Test Certificates/Reports**: If applicable, the seller must upload test certificates or reports issued by accredited laboratories or testing agencies demonstrating the product's compliance with relevant standards and regulations.

5. **Quality Control Plan**: Sellers must upload a quality control plan describing the processes and procedures they follow to ensure the quality of the products they are offering.

6. **Packing List**: Sellers must upload a packing list detailing the items included in the bid, their quantities, and any special packaging instructions or requirements.

7. **Delivery Schedule**: Sellers must upload a delivery schedule that outlines the estimated time frame within which they can deliver the products to the specified location.

8. **Warranty/Guarantee Certificate**: If applicable, the seller must upload a warranty or guarantee certificate specifying the duration and terms of the warranty or guarantee offered for the products.

9. **GST Certificate**: Sellers registered under the Goods and Services Tax (GST) must upload a GST certificate or proof of GST registration.

10. **PAN Card**: Sellers must upload a copy of their PAN card (Permanent Account Number) issued by the Income Tax Department of India.

11. **MSME/Startup Certificate**: If the seller is an MSME (Micro, Small, and Medium Enterprise) or a startup, they must upload a valid MSME/Startup certificate issued by the relevant authorities.

12. **Other Documents**: Depending on the specific BOQ and GeM guidelines, additional documents or information may be required, such as environmental clearance certificates, legal compliance documents, etc."
