"How do I login to the OEM panel as a seller?
","To login to the OEM panel as a seller on GeM, follow these steps:

1. Visit the GeM portal at https://gem.gov.in.

2. On the homepage, click on the ""Seller"" tab.

3. Under the ""Seller"" tab, click on the ""Login"" button.

4. On the login page, enter your User ID and Password.

5. If you have forgotten your password, click on the ""Forgot Password"" link.

6. Once you have entered your login credentials, click on the ""Login"" button.

7. You will be redirected to the OEM panel.

8. On the OEM panel, you can view your orders, manage your products, and update your profile.

Here are some additional tips for logging in to the OEM panel as a seller:

- Make sure that you are using the correct User ID and Password.
- If you are still having trouble logging in, please contact GeM customer support.
- Please note that the OEM panel is only accessible to sellers who have been approved by GeM.
- If you are not sure if you have been approved, please contact GeM customer support."
"What are the different options in the OEM panel for managing approvals and catalogs as a seller?
","1. **Catalog Approval:**
   - **Catalog Published:** This option denotes that the catalog has been approved and is visible to buyers for purchase.
   - **Catalog Pending:** This status implies that the catalog is under review by GeM and awaiting approval for publishing.
   - **Catalog Rejected:** If the catalog is found to be non-compliant with GeM's guidelines or contains erroneous information, it will be rejected. The seller can rectify the errors and resubmit the catalog for approval.


2. **Product Approval:**
   - **Product Published:** This indicates that the product has been approved by GeM and is available for purchase by buyers.
   - **Product Pending:** This status signifies that the product is under review by GeM and awaiting approval for publishing.
   - **Product Rejected:** If the product is found to be non-compliant with GeM's guidelines or contains incorrect information, it will be rejected. The seller can modify the product details and resubmit it for approval.


3. **Price Approval:**
   - **Price Published:** This denotes that the price offered by the seller has been approved by GeM.
   - **Price Pending:** This status implies that the price is under review by GeM and awaiting approval.
   - **Price Rejected:** If the price is deemed to be unreasonably high or not in line with market standards, it will be rejected. The seller can revise the price and resubmit it for approval.


4. **Catalog Expired:**
   - This indicates that the catalog has reached its expiration date and is no longer active. The seller needs to renew the catalog to keep it accessible to buyers.


5. **Catalog Deactivated:**
   - This status signifies that the catalog has been deactivated either by the seller or GeM. The seller can reactivate the catalog if they wish to resume selling through it.


6. **Product Deactivated:**
   - This indicates that the product has been deactivated either by the seller or GeM. The seller can reactivate the product if they wish to resume selling it."
"How can I get authorization codes from the OEMs I work with to upload my catalog?
","To obtain authorization codes from the OEMs (Original Equipment Manufacturers) you work with to upload your catalog on GeM, you can follow these steps:

1. **Check the GeM Portal for OEM Authorization Requirements:**
   - Visit the GeM portal [https://gem.gov.in/](https://gem.gov.in/) and navigate to the ""Seller"" section.
   - Look for information or guidelines related to OEM authorization requirements.

2. **Contact the OEMs Directly:**
   - Identify the OEMs (Original Equipment Manufacturers) whose products you intend to sell through GeM.
   - Reach out to the respective OEMs' customer support or relevant departments directly.
   - Inquire about their specific procedures or requirements for obtaining authorization codes.

3. **Gather Necessary Documents:**
   - Prepare the necessary documents required by the OEMs to grant authorization codes. These may vary but commonly include:
     - A copy of your PAN card (Permanent Account Number)
     - GST certificate (Goods and Services Tax)
     - Company registration documents
     - Proof of address
     - Other relevant documents as per the OEM's requirements

4. **Submit Authorization Request:**
   - Provide the required documents along with a formal authorization request to the OEMs through email, fax, or any other designated method.
   - Ensure that your request clearly states your intention to sell OEM products on the GeM portal.

5. **Verification and Authorization:**
   - The OEMs will review your request and verify the authenticity of your documents and business information.
   - Upon successful verification, the OEMs will grant you authorization codes that you can use to upload your catalog on GeM.

6. **Upload Authorization Codes:**
   - Once you receive the authorization codes from the OEMs, log in to your GeM seller account.
   - Navigate to the section for uploading your catalog.
   - Enter the authorization codes provided by the OEMs along with the product details and other necessary information.

7. **Review and Approval:**
   - The GeM team will review the submitted authorization codes and your product catalog.
   - Upon successful review and approval, your products will be listed on the GeM portal under your seller profile.

**Additional Tips:**

- Maintain open communication with the OEMs to ensure a smooth process and timely resolution of any issues.
- Regularly check your GeM seller account for any updates, notifications, or clarifications regarding authorization codes or catalog uploading.
- Follow the guidelines and instructions provided by GeM and the OEMs to maintain compliance and avoid any potential problems."
"What is the process for OEMs to approve my catalog after I upload it?
","1. **Create and Verify Your GeM Account:**
   - Register as an OEM (Original Equipment Manufacturer) on the GeM portal using your GSTIN and other required documents.
   - Once your account is verified, you can proceed to upload your catalog.

2. **Upload Your Catalog:**
   - Prepare your catalog in the prescribed format, ensuring all mandatory fields are filled and specifications are accurate.
   - Upload the catalog on the GeM portal.

3. **OEM Approval:**
   - After uploading the catalog, it will undergo OEM approval. During this process, GeM validates your documents and product information.
   - You will receive a notification from GeM requesting additional information or clarifications, if required.
   - Address these requests promptly to expedite the approval process.

4. **GeM Technical Team Evaluation:**
   - Once the OEM approval is complete, the GeM technical team reviews your catalog. They will assess the quality, specifications, and standards of your products.
   - The technical team may also seek additional information or clarifications, if necessary.

5. **Catalog Activation:**
   - If your catalog passes the technical evaluation, it will be activated on the GeM portal. This process usually takes a few days.
   - You will receive a notification confirming the activation of your catalog.

6. **Product Approval by Buyers:**
   - Once your catalog is activated, buyers can view and purchase your products.
   - Individual products within your catalog may undergo further approval by the buyer organizations.
   - Once a buyer approves a product, it becomes available for purchase on the GeM portal.

7. **Catalog Management:**
   - Keep your catalog updated with the latest product information, prices, and specifications.
   - Regularly monitor your catalog for any changes or updates required.
   - Respond promptly to any queries or requests from buyers to maintain a positive customer experience."
"How will I know if an OEM has rejected or discontinued my catalog?
","1. **Check your GeM dashboard:**

   - Log in to your GeM account and navigate to the 'My Catalogs' section.
   - Click on the 'View Details' button for the catalog you are interested in.
   - Under the 'Catalog Status' section, you will see the status of your catalog. If the status is 'Rejected' or 'Discontinued', then the OEM has rejected or discontinued your catalog.

2. **Receive an email notification:**

   - GeM will send you an email notification if an OEM rejects or discontinues your catalog.
   - The email notification will contain the reason for the rejection or discontinuation.

3. **Contact the OEM directly:**

   - You can also contact the OEM directly to inquire about the status of your catalog.
   - The OEM may be able to provide you with more information about why they rejected or discontinued your catalog."
"What should I do if my authorization code is marked invalid by an OEM?
","1. **Verify the Authorization Code:**

* Ensure that you have entered the correct authorization code as provided by the OEM.


* Check if there is a typo or an error in the code.


* Confirm that the authorization code has not expired.


2. **Contact the OEM:**

* Reach out to the OEM's customer support directly.


* Explain the situation and provide them with the authorization code.


* Request assistance in resolving the issue.


3. **Check Your GeM Account:**

* Login to your GeM account and verify that the authorization code is correctly linked to your account.


* Ensure that you are using the correct account for the transaction.


4. **Raise a Support Ticket:**

* If you are still experiencing issues, raise a support ticket through the GeM portal.


* Provide all relevant details, including the authorization code, error message, and a screenshot of the error.


5. **Await Resolution:**

* The GeM support team will investigate the issue and work towards a resolution.


* They may contact you for additional information or clarification.


* Be patient and await their response."
"What are the different seller statuses shown in the OEM panel?
","1. **Active:** The seller is registered on GeM.
2. **Under Evaluation:** The seller's registration is under evaluation by GeM.
3. **Approved:** The seller's registration has been approved.
4. **Suspended:** The seller's account has been suspended by GeM.
5. **Blacklisted:** The seller has been blacklisted by GeM.
6. **Rejected:** The seller's registration has been rejected by GeM.
7. **Incomplete:** The seller's registration is incomplete.
8. **Requested for Information:** The seller has been requested to provide additional information by GeM.
9. **Deactivated:** The seller's account has been deactivated by GeM.
10. **Deregistered:** The seller has been deregistered from GeM.
11. **Under Quality Review:** The seller's products are under quality review by GeM.
12. **Blocked:** The seller's account has been blocked by GeM."
"What are quadrants 2 and 3 mentioned in the document? What's the difference in OEM controls for them?
","I apologize for any confusion, but I cannot answer your question as the context provided does not contain any information regarding quadrants 2 and 3 or OEM controls for them. Therefore, I am unable to extract the necessary data to address your query."
"Can you explain the catalog pair and discontinue options for OEMs?
","Sure, here is an explanation of the catalog pair and discontinue options for OEMs on GeM:

**Catalog Pair:**

A catalog pair is a feature on GeM that allows Original Equipment Manufacturers (OEMs) to create a paired catalog for their spare parts with the catalog of their authorized dealers or system integrators. This pairing ensures that the original OEM products are sold through authorized channels, thus maintaining the quality and authenticity of the products.

**Benefits of Catalog Pair:**

* **Ensures Authenticity:** By pairing the catalogs, the OEMs can ensure that their genuine products are sold through authorized channels, reducing the risk of counterfeit products in the market.
* **Increases visibility:** The catalog pair feature increases the visibility of both the OEM and their authorized dealers on GeM, making it easier for buyers to find genuine products and reliable suppliers.
* **Streamlines procurement:** The paired catalog simplifies the procurement process for buyers as they can directly purchase genuine OEM parts from authorized dealers without having to search for multiple suppliers.

**Discontinuation Option:**

The discontinue option on GeM allows OEMs to discontinue their products from being sold on GeM. This option is useful when an OEM is discontinuing a particular product or model. By discontinuing the product, the OEM can prevent further sales of the product and ensure that buyers are aware of the discontinuation.

**Benefits of Discontinuation Option:**

* **Prevents further sales:** By discontinuing a product, the OEM can prevent further sales of the product on GeM, ensuring that buyers are not purchasing outdated or discontinued products.
* **Manages product lifecycle:** The discontinuation option allows OEMs to effectively manage their product lifecycle by removing obsolete or discontinued products from GeM, making way for newer and updated products.

**Conclusion:**

The catalog pair and discontinue options on GeM provide OEMs with tools to manage their product catalogs and ensure the authenticity and quality of their products on the platform. These features benefit both OEMs and buyers, ensuring a seamless and reliable procurement experience. If you are an OEM looking to manage your catalog or discontinue products on GeM, you can contact GeM customer support for assistance."
"What steps should I take if an OEM discontinues my catalog?
","1. **Contact GeM:**
   - Reach out to GeM's customer support team through their support portal or by calling their customer service number. Explain that an OEM has discontinued your catalog and request assistance.


2. **Provide Relevant Documentation:**
   - Be prepared to provide documentation to support your claim. This may include a copy of the OEM's official discontinuation notice, evidence of previous purchases, or any other relevant documents.


3. **Request a Replacement Catalog:**
   - Discuss the possibility of obtaining a replacement catalog from an alternative OEM. GeM may be able to suggest suitable options based on your specific requirements.


4. **Explore Compatible Products:**
   - Consider identifying compatible products from other brands or manufacturers that can fulfill the same purpose as the discontinued catalog. GeM may be able to assist you in this process.


5. **Review Your Contract:**
   - Carefully review the terms and conditions of your contract with GeM. There may be provisions outlined in the contract that address the discontinuation of a catalog and the steps to be taken in such cases.


6. **Evaluate Pricing and Availability:**
   - Research the pricing and availability of the replacement catalog or compatible products. Compare the costs and ensure that the alternative options align with your budget and timeline. 


7. **Negotiate with GeM:**
   - If the replacement catalog or compatible products are more expensive than the discontinued catalog, you may want to negotiate with GeM to find a mutually acceptable solution.


8. **Plan for Transition:**
   - Once you have chosen a suitable replacement or alternative option, work with GeM to plan for a smooth transition. This may involve updating your purchase orders, informing stakeholders, and coordinating the delivery of the new catalog."
