"How do I login to GeM?
","To login to GeM, you can follow these steps:

1. Go to the official GeM portal: https://gem.gov.in/

2. Click on the ""Login"" button located at the top right corner of the homepage.

3. A login window will appear. Enter your registered email address or mobile number in the ""Username"" field.

4. Enter your password in the ""Password"" field.

5. Click on the ""Login"" button to access your GeM account.

6. If you are logging in for the first time, you may need to verify your account. GeM will send an OTP (One Time Password) to your registered email address or mobile number. Enter the OTP in the designated field and click on the ""Verify"" button.

7. Once verified, you will be successfully logged in to your GeM account. You can now access various features and services available on the platform.

8. If you have forgotten your password, click on the ""Forgot Password"" link below the login button. Follow the instructions to reset your password and regain access to your GeM account.

9. If you do not have a GeM account, you can create one by clicking on the ""Register"" button located on the homepage. Enter the required details and follow the instructions to complete the registration process.

10. Please note that GeM provides separate login portals for buyers, sellers, and service providers. Make sure you are logging in to the correct portal based on your user type."
"Where do I go to upload a new product on GeM?
","To upload a new product on GeM, you need to follow these steps:

1. Login to the GeM portal ([https://gem.gov.in/](https://gem.gov.in/)) using your credentials.
2. Click on the ""Seller"" tab and select ""Product Catalog"" from the drop-down menu.
3. On the Product Catalog page, click on the ""Add New Product"" button.
4. You will be directed to the ""Create New Product"" page. Here, you need to fill in the following details:
    * Product Category: Select the relevant product category from the drop-down menu.
    * Product Name: Enter the name of your product.
    * Product Description: Provide a brief description of your product, including its features, benefits, and specifications.
    * Product Images: Upload high-quality images of your product.
    * Product Price: Enter the price of your product.
    * Product Quantity: Specify the quantity of your product that is available for sale.
    * Product Delivery Time: Mention the estimated delivery time for your product.
    * Product Warranty: If applicable, mention the warranty period for your product.
5. Once you have filled in all the required details, click on the ""Save"" button.
6. Your product will be reviewed by GeM and, if approved, will be published on the GeM portal."
"What do I do if I don't find the right product category for my product?
","If you are unable to find the right product category for your product on GeM, you can take the following steps:

1. Contact the GeM Helpdesk:

- You can reach the GeM Helpdesk by calling 1800-419-0649 or by emailing support@gem.gov.in.
- Explain your situation to the customer service representative and they will provide you with assistance.

2. Provide Detailed Product Description:

- When contacting the GeM Helpdesk, be sure to provide a detailed description of your product.
- Include information such as the product's name, specifications, intended use, and any other relevant details.

3. Request for Category Creation:

- If the GeM Helpdesk determines that there is no existing category that fits your product, they may initiate a process to create a new category.
- This process may take some time, but it will ensure that your product can be properly listed and procured through GeM.

4. Stay Informed:

- Once a new category is created, the GeM Helpdesk will inform you and provide you with instructions on how to list your product under the new category.
- Keep an eye on your email and phone for updates from GeM.

5. Follow GeM Guidelines:

- When listing your product under a new category, be sure to follow all of GeM's guidelines and requirements.
- This includes providing accurate and detailed product information, uploading clear images, and setting appropriate pricing.

Remember, the GeM Helpdesk is there to assist you throughout the process. Don't hesitate to contact them if you have any further questions or concerns."
"How do I request for a new product category or modification of an existing category?
","To request a new product category or modification of an existing category, please follow the below-mentioned steps:

1. Log in to the GeM portal using your credentials.


2. Click on the ""Raise a Request"" option available on the homepage.


3. Select ""Request for New Product Category"" or ""Request for Modification of Existing Category"" from the list of request types.


4. Fill in the required details in the request form. Make sure to clearly mention the category name, description, and the reason for the request.


5. If you are requesting for a new category, provide relevant documents and any other supporting information that might be required.


6. Review the details carefully and click on the ""Submit"" button.


7. Your request will be processed by the concerned team. You will receive an email notification with the status of your request.


8. Once the request is approved, the new product category will be added or modifications will be made to the existing category accordingly.


Please note that the request for a new product category or modification of an existing category should be relevant to the GeM platform's requirements and policies. The approval of requests may take some time depending on the nature of the request and its relevance to the GeM platform."
"What is the brand approval process on GeM?
","The brand approval process on GeM involves the following steps:

1. **Brand Registration:**

   - Seller submits a request for brand registration along with supporting documents and information (such as GST certificate, PAN card, trademark certificate, etc.) through the GeM Seller Portal.

2. **Verification of Documents:**

   - GeM verifies the authenticity and validity of the submitted documents.

3. **Brand Approval:**

   - If the documents are found to be satisfactory, GeM approves the brand registration.
   - The seller is notified about the approval status through email and SMS.
   - An auto-generated brand approval letter is also sent to the registered email address of the seller.

4. **Product Listing:**

   - Once the brand is approved, the seller can start listing products under that brand on the GeM portal.
   - The products can be listed manually or through the Bulk Upload facility.

5. **Product Approval:**

   - After the products are listed, GeM reviews the product details and documents to ensure compliance with GeM guidelines and quality standards.
   - If the products meet the requirements, GeM approves the product listing.
   - The seller is notified about the approval status through email and SMS.

6. **Product Activation:**

   - Once the products are approved, they become active on the GeM portal and are visible to buyers.

7. **Order Fulfillment:**

   - When a buyer places an order for a product, the seller receives the order details.
   - The seller is responsible for fulfilling the order by delivering the product to the buyer.

8. **Payment Process:**

   - After the order is delivered and accepted by the buyer, the payment is processed through the GeM portal.
   - The seller receives the payment through their bank account within a stipulated time.

This process ensures that only genuine brands and quality products are available on the GeM portal, providing buyers with a reliable and transparent platform for procurement."
"How do I quickly create a catalog by cloning an existing one?
","To quickly create a catalog by cloning an existing one, follow these steps:

1. Log in to the GeM portal with your credentials.
2. Click on the ""Catalog"" tab in the main menu.
3. Select the catalog that you want to clone from the list of available catalogs.
4. Click the ""Clone"" button located in the actions column.
5. Enter a new name for the cloned catalog in the pop-up window.
6. Select the categories that you want to include in the cloned catalog.
7. Click the ""Clone"" button again to confirm the cloning process.

The cloning process will begin and the new catalog will be created. Once the cloning process is complete, you can find the cloned catalog in the list of available catalogs. You can then edit the cloned catalog to make any necessary changes or additions."
"What is the difference between golden and non-golden parameters?
","**Golden Parameters:**

* Mandatory parameters that are essential for the procurement process.
* These parameters are defined by GeM and cannot be changed by the buyer or seller.
* Golden parameters include:
    * Product/Service Description
    * Quantity
    * Delivery Address
    * Delivery Date
    * Payment Terms
    * Inspection Criteria
    * Warranty Terms
    * Dispute Resolution Mechanism

**Non-Golden Parameters:**

* Optional parameters that can be customized by the buyer or seller.
* These parameters are not essential for the procurement process but can be used to provide additional information or preferences.
* Non-golden parameters include:
    * Technical Specifications
    * Commercial Terms
    * Evaluation Criteria
    * Bid Validity Period
    * Performance Security
    * Liquidated Damages
    * Late Delivery Charges

**Key Differences:**

* Golden parameters are mandatory and cannot be changed, while non-golden parameters are optional and can be customized.
* Golden parameters are defined by GeM, while non-golden parameters can be defined by the buyer or seller.
* Golden parameters are essential for the procurement process, while non-golden parameters can be used to provide additional information or preferences.

**Additional Information:**

* Both golden and non-golden parameters are included in the Request for Proposal (RFP) document.
* Buyers can use the non-golden parameters to tailor the RFP document to their specific requirements.
* Sellers can use the non-golden parameters to demonstrate their capabilities and differentiate their bids from those of other sellers."
"What do I do if my product already exists in the marketplace?
","1. **Verify Product Information:**

   - Check if the existing product matches your product's specifications, features, and quality.


2. **Contact the Seller:**

   - Reach out to the seller of the existing product.
   - Discuss the possibility of becoming an authorized distributor or reseller for their product.
   - This allows you to sell the product under your own brand or as a part of your product portfolio.


3. **Differentiate Your Product:**

   - If the existing product does not fully meet your requirements, consider differentiating your product by:
      - Adding additional features or functionality.
      - Improving quality or design.
      - Targeting a different market segment or niche.


4. **Create a Unique Product Listing:**

   - If your product is sufficiently differentiated, you can create a separate product listing on GeM.
   - Ensure that your product listing accurately reflects the unique features and benefits of your product.


5. **Highlight Product Benefits:**

   - Emphasize how your product addresses customer needs or solves specific problems.
   - Use clear and compelling product descriptions, images, and videos to showcase your product's advantages.


6. **Market Your Product:**

   - Develop a marketing strategy to promote your product and reach potential customers.
   - Utilize online platforms, social media, and email marketing to create awareness and drive sales.


7. **Maintain Product Quality and Customer Service:**

   - Ensure that your product meets the promised quality standards and performs as expected.
   - Provide excellent customer service to build a positive reputation and encourage repeat purchases.


8. **Monitor Competition:**

   - Keep an eye on the existing product and its seller's activities.
   - Adjust your pricing, marketing, and product development strategies accordingly."
"As an OEM, what details do I need to provide about FSSAI license number?
","As an Original Equipment Manufacturer (OEM) on GeM, here are the details you need to provide regarding your FSSAI (Food Safety and Standards Authority of India) license number:

1. **FSSAI License Number**: Provide the unique 14-digit FSSAI license number assigned to your business by the Food Safety and Standards Authority of India (FSSAI). This number serves as proof of your registration and compliance with the FSSAI regulations.

2. **Validity of FSSAI License**: Specify the validity period of your FSSAI license. This includes the start date and end date of the license. You must ensure that your FSSAI license is valid and renewed timely to maintain compliance.

3. **Scope of FSSAI License**: Indicate the specific food products or categories for which your FSSAI license is applicable. This could include manufacturing, processing, packaging, distribution, or storage of food items. Clearly outline the activities covered under your license.

4. **FSSAI License Holder's Name**: Provide the legal name of the FSSAI license holder. This should match the name registered with the FSSAI and must be consistent across all your submissions to GeM.

5. **FSSAI License Holder's Address**: Specify the complete address of the FSSAI license holder, including the state, district, city, and pin code. Ensure that this address corresponds to the location where the food business is operated.

6. **FSSAI License Category**: Indicate the category of your FSSAI license. This could be a Central License, State License, or a Registration Certificate, depending on the nature and scale of your food business.

7. **FSSAI License Document**: Provide a scanned copy of your valid FSSAI license certificate. The document should be in PDF or JPEG format and clearly legible. Ensure that the license number, validity period, and other details are visible on the scanned copy.

By providing accurate and complete information about your FSSAI license number and related details, you demonstrate compliance with food safety regulations and enhance the credibility of your business on GeM. This information will be used during the bidding process and may be subject to verification by GeM or relevant authorities."
"As a reseller, what details do I need to provide about FSSAI license number?
","As a reseller, you are required to provide the following details about your FSSAI license number:

1. Name of FSSAI License Holder: The name of the individual or business entity that holds the FSSAI license.
2. FSSAI License Number: The unique 14-digit FSSAI license number assigned to the license holder.
3. Date of Issue: The date on which the FSSAI license was issued to the license holder.
4. Date of Expiry: The date on which the FSSAI license expires.
5. Type of License: The type of FSSAI license held by the license holder, such as a Central License, State License, or Temporary License.
6. Scope of License: The scope of the FSSAI license, which includes the types of food products or services that the license holder is authorized to manufacture, sell, or distribute.
7. Address of Registered Office: The address of the registered office of the license holder, as per the FSSAI license.
8. Contact Information: The contact information of the license holder, including phone number, email address, and website (if applicable).

It is important to provide accurate and complete information about your FSSAI license number, as this information is used to verify your identity and ensure compliance with applicable food safety regulations."
