"What is the process to accept or decline an order on GeM?
","**To accept or decline an order on GeM, follow these steps:**

1. **Log in to your GeM account.**
2. **Click on the 'My Orders' tab.**
3. **Select the order you want to accept or decline.**
4. **Click on the 'Accept Order' or 'Decline Order' button.**
5. **If you accept the order, you will need to provide the following information:**
    * Delivery address
    * Contact person
    * Contact number
6. **If you decline the order, you will need to provide the reason for declining.**
7. **Click on the 'Submit' button.**

**Once you have accepted or declined an order, you will receive a confirmation email.**

**Additional information:**

* You can accept or decline an order within 24 hours of receiving it.
* If you do not accept or decline an order within 24 hours, the order will be automatically canceled.
* You can only accept or decline an order if you are the seller of the product or service.
* If you have any questions about accepting or declining an order, you can contact GeM customer support."
"How do I generate an invoice on GeM after accepting an order?
","1. **Log in** to the GeM portal and navigate to your **My Orders** page.


2. Select the **order** for which you want to generate an invoice.


3. Click on the **View Order Details** button.


4. In the **Order Details** page, click on the **Generate Invoice** button.


5. Enter the **invoice details**, such as invoice number, invoice date, due date, payment terms, and shipping address.


6. **Add the items** that are included in the order to the invoice. You can do this by selecting the items from the list of ordered items or by manually entering the item details.


7. **Calculate** the **total amount** of the invoice.


8. **Review** the invoice details and **click** on the **Generate Invoice** button.


9. The invoice will be generated in **PDF format**. You can **download** the invoice and **send** it to your customer."
"Where can I view the order details on GeM?
","To view the order details on GeM, you can follow these steps:

1. Log in to the GeM portal using your registered email address and password.

2. Click on the ""My Orders"" tab located on the top menu bar.

3. You will be directed to the ""My Orders"" page, which displays a list of all your orders placed on GeM.

4. Locate the order for which you want to view the details. You can use the search bar to filter the orders by order ID, order date, or supplier name.

5. Once you have found the order, click on the ""View Order Details"" button associated with that order.

6. This will open the order details page, where you can view the following information:

    - Order ID: A unique identifier assigned to the order.

    - Order Date: The date on which the order was placed.

    - Supplier Name: The name of the supplier from whom the order was placed.

    - Order Status: The current status of the order (e.g., Order Placed, Order Confirmed, Order Shipped, etc.).

    - Item Details: A list of the items included in the order, along with their quantity, unit price, and total price.

    - Shipping Address: The address to which the order is being shipped.

    - Billing Address: The address to which the invoice will be sent.

    - Payment Details: The payment method used to make the purchase.

    - Order Total: The total amount payable for the order, including taxes and shipping charges.

You can also download the order details as a PDF or CSV file by clicking on the respective buttons provided on the page. Additionally, you can initiate actions such as canceling the order, requesting a refund, or tracking the shipment status from this page.

If you have any further questions or concerns regarding your order, you can reach out to GeM's customer support team through the ""Contact Us"" section of the portal."
"How do I select the place of supply for billing on GeM?
","To select the place of supply for billing on GeM, follow these steps:

1. Log in to your GeM account and select the desired product or service.

2. On the product or service page, click on the ""Add to Cart"" button.

3. A pop-up window will appear. In this pop-up window, you will find the ""Place of Supply"" section.

4. Select the appropriate place of supply from the dropdown menu.

5. Click on the ""Save"" button to save your selection.

6. Proceed to checkout and complete the payment process.

The place of supply that you select will determine the GST rate that will be applicable to your purchase."
"What do I do if I'm GST registered on GeM?
","Here are the steps to follow if you are GST registered on GeM:

1. **Ensure Your GST Details are Updated:** 
- Make sure that your GST number is correctly updated in your GeM seller profile. This will help buyers identify you as a GST-registered seller and enable them to claim input tax credit.

2. **Mention GST Number on Invoice:** 
- When generating invoices for GeM orders, clearly mention your GST number and other relevant details such as the GST amount applicable. This information must be included on all invoices issued to buyers.

3. **Provide GST Return Filing Proof:** 
- Periodically, you may be required to provide proof of GST return filing to GeM. This can be done by uploading a copy of your GST return filing acknowledgement or other relevant documents.

4. **Maintain GST Compliance:** 
- Ensure that you maintain compliance with GST regulations, including timely filing of GST returns and payment of taxes. Failure to comply may result in penalties or other consequences from the GST authorities.

5. **GST Threshold Limit:**
- Be aware of the GST threshold limit. If your annual aggregate turnover exceeds the threshold limit, you are required to file GST returns regularly. The threshold limit is specified by the GST authorities and can change from time to time.

6. **Keep Records and Documents:** 
- Retain all relevant records and documents related to GST, such as invoices, purchase orders, and GST returns. These documents may be required for audits or compliance purposes.

7. **GST Rate Changes:** 
- Stay informed about any changes in GST rates or regulations. Update your invoices and processes accordingly to reflect the latest GST rates and requirements.

By following these steps, you can ensure that your GST registration on GeM is properly managed, and you are compliant with GST regulations. This will enable you to smoothly conduct business on the GeM platform while meeting your tax obligations."
"How can I preview the invoice before proceeding on GeM?
","Sure! Here are the steps on how you can preview the invoice before proceeding on GeM:

1. Log in to the GeM portal ([https://gem.gov.in/](https://gem.gov.in/)) using your credentials.

2. Navigate to the **'My Orders'** section from the top menu bar.

3. Select the order for which you want to preview the invoice.

4. Click on the **'View Invoice'** button located under the **'Actions'** column.

5. A pop-up window will appear displaying the invoice details.

6. Review the invoice carefully, including the items purchased, quantities, unit prices, total amount, taxes, and shipping information.

7. If you find any errors or discrepancies, click on the **'Raise Invoice Query'** button to report the issue to the seller.

8. Once you are satisfied with the invoice, you can proceed with the payment by clicking on the **'Proceed to Payment'** button.

Please note that you can only preview the invoice before the order is shipped. Once the order is shipped, you will not be able to view the invoice until the delivery is completed.

**Additional Information:**
- The invoice preview is available for both Goods and Services orders.
- You can also download the invoice in PDF format by clicking on the **'Download Invoice'** button.
- If you have any further questions or concerns, you can reach out to GeM's customer support team through the **'Help & Support'** section on the GeM portal.

I hope this helps! Let me know if you have any other questions."
"What is the process to verify the invoice using OTP or e-Sign on GeM?
","To verify the invoice using OTP or e-Sign on GeM, follow these steps:

1. Log into the GeM portal using your credentials.
2. Navigate to the 'Invoices' section of the portal.
3. Select the invoice you want to verify.
4. Click on the 'Verify Invoice' button.
5. Select the verification method you want to use (OTP or e-Sign).
6. If you select OTP, you will receive a one-time password on your registered mobile number. Enter the OTP in the field provided.
7. If you select e-Sign, you will be prompted to sign the invoice electronically using your Aadhaar card or Digital Signature Certificate (DSC).
8. Once you have verified the invoice, click on the 'Submit' button to complete the process.

Here are some additional points to note:

* You can verify invoices in bulk by selecting multiple invoices and then clicking on the 'Verify Selected Invoices' button.
* If you have any issues verifying an invoice, you can contact GeM customer care for assistance.
* GeM also offers a mobile app that you can use to verify invoices on the go.
* e-Sign is a secure and legally binding way to verify invoices electronically. It is recognized by the Government of India and is widely used in various e-commerce platforms."
"How do I register for e-Mudra e-Sign to perform e-Sign on GeM?
","1. **Visit the e-Mudra e-Sign website**: e-Mudra e-Sign

2. **Click on ""Register Now""**: This will take you to the registration page.

3. **Enter your Name, Email Address, and Mobile Number**: Also, enter the OTP received on your mobile number.

4. **Create a Password**: Make sure to create a strong password that includes uppercase letters, lowercase letters, numbers, and special characters.

5. **Read and Accept the Terms and Conditions**: Tick the checkbox to indicate that you agree to the terms and conditions and click on ""Register"".

6. **Verify Your Email Address**: You will receive a verification email from e-Mudra e-Sign. Click on the link provided in the email to verify your email address.

7. **Your e-Mudra e-Sign account is now created**: You can now use your email address and password to log in to your account.

8. **Upload Your Documents**: Once logged in, you need to upload the following documents:

     * PAN Card
     * Aadhaar Card
     * Address Proof
     * Photograph
     * Signature

9. **Verify Your Documents**: Your documents will be verified by e-Mudra e-Sign. This process may take a few days.

10. **Once your documents are verified**, you will be able to use e-Mudra e-Sign to perform e-Sign on GeM."
"Where can I view and download the final invoice after e-Sign verification?
","To view and download the final invoice after e-Sign verification, follow these steps:

1. Log in to the GeM portal using your credentials.

2. Click on the ""My Orders"" tab.

3. Select the order for which you want to view the invoice.

4. Click on the ""Invoices"" tab.

5. In the ""Final Invoice"" section, click on the ""View Invoice"" button.

6. The final invoice will be displayed in a new window.

7. To download the invoice, click on the ""Download"" button.

The final invoice will be downloaded in PDF format. You can save it to your computer or print it out for your records."
"How can I generate and download the dispatch slip on GeM?
","To generate and download the dispatch slip on GeM, follow these steps:

1. Log in to the GeM portal with your registered credentials.

2. Navigate to the ""My Orders"" section by clicking on the ""My Orders"" tab located at the top of the page.

3. Locate the order for which you want to generate the dispatch slip. You can use the search bar or filter options to easily find the order.

4. Click on the ""View Details"" button associated with the order.

5. In the order details page, scroll down to the ""Logistics"" section.

6. Under the ""Logistics"" section, you will find the ""Generate Dispatch Slip"" button. Click on this button.

7. A pop-up window will appear prompting you to confirm the generation of the dispatch slip. Make sure the information displayed is correct, and then click on the ""Generate"" button.

8. The dispatch slip will be generated and displayed in a PDF format. Review the dispatch slip to ensure all the information is accurate.

9. To download the dispatch slip, click on the ""Download"" button located at the top right corner of the PDF viewer.

10. Select the desired location on your computer to save the dispatch slip.

11. Once the download is complete, you can access the dispatch slip from the selected location on your computer.

Note: The dispatch slip is an important document that serves as proof of dispatch of goods or services. It is essential to ensure the accuracy of the information provided on the dispatch slip and to keep it for future reference."
