"What is the process to update my seller profile on GeM?
","To update your seller profile on GeM, follow these steps:

1. **Log in to GeM:**
   - Visit the GeM portal (https://gem.gov.in/) and click on ""Login"" in the top-right corner.
   - Enter your User ID and Password, then click ""Sign In"".

2. **Navigate to Profile:**
   - Once you are logged in, click on your Profile icon in the top-right corner.
   - Select ""My Profile"" from the drop-down menu.

3. **Update Seller Information:**
   - Click on the ""Seller Profile"" tab on the left-hand side of the page.
   - You can update various details, such as your Company Name, Address, Contact Information, and Bank Details.
   - Make sure to provide accurate and up-to-date information.

4. **Upload Supporting Documents:**
   - Scroll down to the ""Supporting Documents"" section.
   - Click on the ""Upload"" button to upload relevant documents, such as GST certificates, PAN cards, and other required documents.

5. **Review and Submit Changes:**
   - Review all the changes you have made to your profile.
   - Ensure that the information is accurate and complete.
   - Click on the ""Submit"" button to save the changes.

6. **Verification:**
   - Your profile updates will be reviewed and verified by the GeM team.
   - Once verified, the changes will be reflected in your seller profile.

7. **Notifications:**
   - You will receive a notification via email or SMS when your profile update is processed.

**Additional Points:**

- Make sure to keep your profile updated with the latest information at all times.
- Any changes to your GST number, PAN details, or bank account details must be updated on GeM immediately.
- If you encounter any issues while updating your profile, you can contact GeM customer support for assistance.
- You can also refer to the GeM Seller User Manual for detailed instructions on profile management."
"What documents do I need to provide for profile completion and verification?
","To complete your profile and verify your account on the Government e-Marketplace (GeM), you will need to provide the following documents:

1. PAN Card: Copy of your Permanent Account Number (PAN) card.

2. IEC (Import-Export Code): Copy of your IEC (only required if you are an exporter).

3. GST Number: Copy of your Goods and Services Tax (GST) registration certificate.

4. MSME/SSI Registration (if applicable): Copy of your MSME/SSI registration certificate issued by the Ministry of Micro, Small and Medium Enterprises (MSME).

5. Bank Account Details: Copy of the first page of your bank passbook showing your account number and IFSC code.

6. Company/Organization Registration: If you are a company or organization, you will need to provide a copy of your Certificate of Incorporation, Memorandum of Association (MOA), and Articles of Association (AOA).

7. Partnership Deed (if applicable): If you are a partnership firm, you will need to provide a copy of your Partnership Deed.

8. Proprietary Concern Declaration (if applicable): If you are a proprietary concern, you will need to provide a self-declaration stating the name of the proprietor and the registered address of the business.

Please note that the specific requirements may vary depending on your business type and profile. While providing these documents, ensure that they are clear, legible, and valid. You can upload these documents during the profile completion process on the GeM portal. Once your documents are verified, your account will be activated, and you will be able to start using the GeM platform for procurement and selling.

Additionally, you may also be required to provide additional documents during the bidding process for specific tenders. These documents may include technical specifications, quality certificates, or any other relevant documents as per the tender requirements."
"What are the different types of organizations that can register on GeM and what are the PAN requirements for each?
","**Different Types of Organizations that can Register on GeM:**

1. **Central Government Ministries/Departments:**
    * PAN Requirement: PAN of the Ministry/Department.

2. **Central Public Sector Undertakings (CPSUs):**
    * PAN Requirement: PAN of the CPSU.

3. **Central Autonomous Bodies:**
    * PAN Requirement: PAN of the Autonomous Body.

4. **State Governments/Union Territories:**
    * PAN Requirement: PAN of the State Government/Union Territory.

5. **Local Governments:**
    * PAN Requirement: PAN of the Local Government.

6. **Public Sector Undertakings (PSUs):**
    * PAN Requirement: PAN of the PSU.

7. **Government-Aided Educational Institutions:**
    * PAN Requirement: PAN of the Educational Institution.

8. **Registered Societies:**
    * PAN Requirement: PAN of the Society.

9. **Non-Governmental Organizations (NGOs):**
    * PAN Requirement: PAN of the NGO.

10. **Self-Help Groups (SHGs):**
    * PAN Requirement: PAN of the SHG.

11. **Proprietorship Firms:**
    * PAN Requirement: PAN of the Proprietor.

12. **Partnership Firms:**
    * PAN Requirement: PAN of the Partnership Firm.

13. **Limited Liability Partnerships (LLPs):**
    * PAN Requirement: PAN of the LLP.

14. **Private Limited Companies:**
    * PAN Requirement: PAN of the Private Limited Company.

15. **Public Limited Companies:**
    * PAN Requirement: PAN of the Public Limited Company.

16. **Foreign Companies:**
    * PAN Requirement: PAN of the Foreign Company.

17. **Individuals:**
    * PAN Requirement: PAN of the Individual."
"How do I change my business/organization type if needed after registration?
","To change your business/organization type on GeM, follow these steps:

1. Log in to your GeM account.
2. Click on the ""My Profile"" tab.
3. Under the ""Business/Organization Information"" section, click on the ""Edit"" button.
4. Select the correct business/organization type from the dropdown menu.
5. Enter any other required information and click on the ""Save"" button.

Your business/organization type will be updated within 24 hours.

**Note:** You can only change your business/organization type once after registration. If you need to make any further changes, you will need to contact GeM customer support."
"What additional information like CIN number is required if registering as a company?
","Sure, here is the additional information required if registering as a company on the GeM portal:

* **Certificate of Incorporation (CIN)**: This is a unique identification number assigned to every company incorporated in India. It is issued by the Registrar of Companies (ROC) under the Ministry of Corporate Affairs.
* **PAN card of the company**: This is a 10-digit alphanumeric number issued by the Income Tax Department of India. It is mandatory for all businesses to have a PAN card.
* **GST registration number**: This is a unique identification number assigned to businesses registered under the Goods and Services Tax (GST) regime in India. It is mandatory for all businesses with an annual turnover of more than Rs. 20 lakhs to have a GST registration number.
* **Address proof of the company**: This can be a copy of the company's registered office address proof, such as a copy of the lease agreement, electricity bill, or property tax receipt.
* **Bank account details**: This includes the company's bank account number, IFSC code, and MICR code.
* **Contact details**: This includes the company's phone number, email address, and website address.
* **Authorized signatory**: This is the person who is authorized to sign on behalf of the company. Their name, designation, and contact details must be provided.

In addition to the above, companies may also need to provide additional documents depending on the nature of their business. For example, companies that manufacture products may need to provide a copy of their manufacturing license.

Once all the required documents are submitted, the company's registration will be processed by GeM. The company will be notified via email once the registration is complete.

Please note that the above information is for general guidance only. The specific requirements may vary depending on the individual case. Companies are advised to visit the GeM portal or contact GeM customer support for more information.

I hope this helps! Let me know if you have any other questions."
"How do I register as a startup or MSME on GeM? What details and verification is required?
","To register as a startup or MSME on GeM, follow these steps:

1. Visit the GeM portal (https://gem.gov.in/) and click on ""Register"" in the top right corner.


2. Select ""Startup/MSME"" as the type of organization.


3. Enter your basic information, including company name, address, contact details, and PAN number.


4. Upload the following documents:

    * Certificate of Incorporation/Registration (for companies) or Udyog Aadhaar Memorandum (for MSMEs)
    * GST certificate
    * Proof of address (electricity bill, water bill, or property tax receipt)
    * Bank account details


5. Submit your application.


Once your application is submitted, it will be reviewed by the GeM team. If approved, you will receive a confirmation email with your login details.

**Verification:**

GeM may also require you to provide additional information or documentation for verification purposes. This may include:

* Proof of startup status (e.g., a letter from an incubator or accelerator, or a certificate from the Department of Industrial Policy and Promotion)
* Proof of MSME status (e.g., a Udyog Aadhaar Memorandum or a certificate from the District Industries Centre)
* Financial statements
* Other documents as required by GeM

**Note:**

* The MSME certificate must be self-certified by the enterprise (as per Govt. Circular)
* The validity of the Udyog Aadhaar Memorandum has been extended from 31st March 2022 and shall be valid till 31st March 2023.
* New Enterprises can apply for free EM-Part II Registration and self-certify their MSME Status. UAM will be the proof of MSME Status, which shall be valid till 31st March 2023.

By following these steps, you can register as a startup or MSME on GeM and start selling your products or services to government agencies."
"What are the requirements and process to participate in bids on GeM?
","**Requirements to Participate in Bids on GeM:**

1. **Register as a Seller:**
   - Visit the GeM portal and click on ""Register"" to create an account.
   - Select ""Seller"" as the account type.
   - Provide necessary details, including company name, GST number, and bank account details.
   - Submit the registration form and wait for approval.

2. **Obtain Digital Signature Certificate (DSC):**
   - Acquire a Class II or Class III DSC from a licensed Certifying Authority (CA).
   - Install the DSC on your computer.

3. **Activate GeM Seller Account:**
   - Log in to your GeM account.
   - Click on ""My Account"" and then ""Activate Account.""
   - Upload a soft copy of your DSC.
   - Verify your mobile number and email address.

4. **Add Products/Services:**
   - Go to ""My Products/Services"" and click on ""Add Product/Service.""
   - Enter product/service details, such as name, description, specifications, and images.
   - Select appropriate categories and subcategories.
   - Save the product/service.

**Process to Participate in Bids on GeM:**

1. **Search for Tenders:**
   - Visit the GeM portal and click on ""Tenders.""
   - Filter tenders based on category, location, or other criteria.

2. **Review Tender Documents:**
   - Click on a tender to view the tender details, including eligibility criteria, bid submission instructions, and evaluation criteria.

3. **Prepare Bid:**
   - Compile all necessary documents, such as technical specifications, cost breakdown, and supporting documents.
   - Ensure your bid complies with the tender requirements and instructions.

4. **Submit Bid:**
   - Log in to your GeM account.
   - Click on ""My Bids"" and then ""Submit Bid.""
   - Attach the required documents and submit the bid before the deadline.

5. **Bid Evaluation and Award:**
   - The procuring entity will evaluate bids based on the criteria specified in the tender.
   - The successful bidder will be notified and awarded the contract.

**Additional Tips:**

- Regularly check the GeM portal for new tenders.
- Keep your products/services updated with accurate information.
- Respond promptly to any queries or clarifications from the procuring entity.
- Submit bids well in advance of the deadline to avoid technical glitches."
"What is the process to add and verify GST details on my seller profile? Can I change it later?
","**Process to Add and Verify GST Details on Your Seller Profile:**

1. **Log in:** Visit the GeM portal and log in to your seller account using your credentials.


2. **Navigate to 'My Profile':** Once logged in, click on the ""My Profile"" option located in the top-right corner of the screen.


3. **Select 'GST Details':** In your profile, find and select the ""GST Details"" option.


4. **Enter GST Information:** In the GST Details section, provide the following information:

    * GSTIN: Enter your GST Identification Number (GSTIN).
    * Legal Name: Provide the legal name of your business or organization as mentioned in your GST registration certificate.
    * Address: Enter the registered address of your business as per your GST registration.
    * State: Select the state in which your business is registered for GST.
    * Constitution of the Business: Specify the constitution of your business, whether it's a proprietorship, partnership, limited liability partnership (LLP), company, or any other category.
    * PAN Card Number: Provide the Permanent Account Number (PAN) linked to your GSTIN.
    * Bank Account Details: Enter your bank account details, including account number, IFSC code, and bank name, to receive payments from GeM.


5. **Upload Documents:** Attach scanned copies of the following documents to support your GST details:

    * GST Registration Certificate
    * PAN Card
    * Cancelled Cheque/Bank Statement


6. **Verify and Submit:** Carefully review the information you have provided and ensure it's accurate and complete. Once verified, click on the ""Submit"" button to save and submit your GST details.


7. **Verification Process:** The GeM team will review and verify the submitted GST details and documents. You will receive notifications about the status of your verification through email or SMS.


8. **GST Verification Approval:** Once your GST details are verified successfully, you will receive confirmation from the GeM team. Your GST status will be updated in your seller profile, and you will be able to participate in government tenders and procurements.

**Can I Change GST Details Later?**

Yes, you can change your GST details later if necessary. Follow these steps to update your GST information:

1. **Log in:** Access the GeM portal and log in to your seller account.


2. **Navigate to 'My Profile':** Click on the ""My Profile"" option located in the top-right corner of the screen.


3. **Select 'GST Details':** In your profile, find and select the ""GST Details"" option.


4. **Update Information:** Make changes to your GST details, such as name, address, or bank account details, as required.


5. **Verify and Submit:** Review the updated information and click on the ""Submit"" button to save the changes.


6. **Verification Process:** The GeM team will review and verify the revised GST details. You will receive notifications about the status of your verification through email or SMS.


7. **GST Update Approval:** Once the updated GST details are verified, your seller profile will be updated accordingly. You will be able to continue participating in GeM tenders and procurements with the revised GST information."
"What key person information and ITR details need to be provided by companies and firms?
","Sure, here are the key person information and ITR details that need to be provided by companies and firms:

**Key Person Information:**

1. **Name:** Full legal name of the company or firm.
2. **PAN:** Permanent Account Number of the company or firm.
3. **GSTIN:** Goods and Services Tax Identification Number of the company or firm.
4. **Registered Address:** Complete registered office address of the company or firm.
5. **CIN/LLPIN:** Corporate Identity Number/Limited Liability Partnership Identification Number of the company or firm.
6. **Authorized Signatory:** Name, designation, and contact details of the authorized signatory of the company or firm.
7. **Contact Information:** Email address, phone number, and website of the company or firm.
8. **Business Activity:** Nature and scope of the business activities undertaken by the company or firm.
9. **Bank Account Details:** Bank account number, IFSC code, and name of the bank branch where the company or firm holds an account.

**ITR Details:**

1. **ITR Form:** Specify the ITR form filed by the company or firm (ITR-1, ITR-2, ITR-3, etc.).
2. **Assessment Year:** The assessment year for which the ITR was filed.
3. **Date of Filing:** The date on which the ITR was filed.
4. **Total Income:** The total income declared in the ITR.
5. **Tax Liability:** The total tax liability as per the ITR.
6. **Tax Paid:** The total tax paid as per the ITR.
7. **Refund Received (if applicable):** The amount of refund received, if any, as per the ITR.

In addition to the above, companies and firms may also be required to provide additional information and documents as deemed necessary by GeM.

**Please note:**

* All information and documents provided must be true, correct, and complete.
* Any false or misleading information may result in disqualification from GeM.
* GeM reserves the right to seek additional information and documents as required.

I hope this helps! Let me know if you have any other questions."
"How do I add bank account details for receiving payments?
","To add bank account details for receiving payments on GeM:

1. Log in to the GeM portal using your registered credentials.
2. Go to the 'My Profile' section.
3. Click on the 'Bank Accounts' tab.
4. Click on the 'Add Bank Account' button.
5. Enter the following details:
    * Bank Name
    * IFSC Code
    * Account Number
    * Account Holder Name
    * PAN Number
6. Click on the 'Save' button.
7. Your bank account details will be verified by GeM. Once verified, you will be able to receive payments in your bank account.

Please note:

* You can add multiple bank accounts for receiving payments.
* It is mandatory to provide PAN details while adding a bank account.
* GeM only supports NEFT/RTGS for making payments.
* Payments will be processed within 7-10 working days from the date of invoice generation."
